Posição,Time,Pontos,Jogos,Vitórias,Empates,Derrotas,Gols Pró,Gols Contra,Saldo Gols,Aproveitamento %,Últimos 5 Jogos
1,"Bayern de Munique",12,4,4,0,0,14,3,11,100,"V-V-V-V"
2,"Arsenal",12,4,4,0,0,11,0,11,100,"V-V-V-V"
3,"Internazionale",12,4,4,0,0,11,1,10,100,"V-V-V-V"
4,"Manchester City",10,4,3,1,0,10,3,7,83,"V-V-E-V"
5,"Paris Saint-Germain",9,4,3,0,1,14,5,9,75,"V-V-V-D"
6,"Newcastle",9,4,3,0,1,10,2,8,75,"V-V-D-V"
7,"Real Madrid",9,4,3,0,1,8,2,6,75,"V-V-D-V"
8,"Liverpool",9,4,3,0,1,9,4,5,75,"V-V-D-V"
9,"Galatasaray",9,4,3,0,1,8,6,2,75,"V-V-D-V"
10,"Tottenham",8,4,2,2,0,7,2,5,66,"E-E-V-V"
11,"Barcelona",7,4,2,1,1,12,7,5,58,"V-V-D-E"
12,"Chelsea",7,4,2,1,1,9,6,3,58,"V-D-D-V"
13,"Sporting",7,4,2,1,1,8,5,3,58,"V-D-E-V"
14,"Borussia Dortmund",7,4,2,1,1,13,11,2,58,"V-E-V-D"
15,"Qarabag",7,4,2,1,1,8,7,1,58,"V-V-E-D"
16,"Atalanta",7,4,2,1,1,3,5,-2,58,"D-V-E-V"
17,"Atlético de Madrid",6,4,2,0,2,10,9,1,50,"V-D-D-V"
18,"PSV Eindhoven",5,4,1,2,1,9,7,2,41,"E-D-E-V"
19,"Monaco",5,4,1,2,1,4,6,-2,41,"D-E-V-V"
20,"Pafos",5,4,1,2,1,2,5,-3,41,"D-E-V-V"
21,"Bayer Leverkusen",5,4,1,2,1,6,10,-4,41,"E-V-E-D"
22,"Club Brugge",4,4,1,1,2,8,10,-2,33,"V-D-D-E"
23,"Eintracht Frankfurt",4,4,1,1,2,7,11,-4,33,"D-E-V-D"
24,"Napoli",4,4,1,1,2,4,9,-5,33,"D-D-E-V"
25,"Olympique de Marselha",3,4,1,0,3,6,5,1,25,"V-D-D-D"
26,"Juventus",3,4,0,3,1,7,8,-1,25,"E-E-E-D"
27,"Athletic Bilbao",3,4,1,0,3,4,9,-5,25,"V-D-D-D"
28,"Union Saint-Gilloise",3,4,1,0,3,4,12,-8,25,"V-D-D-D"
29,"Bodø/Glimt",2,4,0,2,2,5,8,-3,16,"E-E-D-D"
30,"Slavia Praga",2,4,0,2,2,8,6,-6,16,"D-E-E-D"
31,"Olympiacos",2,4,0,2,2,2,9,-7,16,"D-E-E-D"
32,"Villarreal",1,4,0,1,3,2,6,-4,8,"E-D-D-D"
33,"Copenhagen",1,4,0,1,3,4,12,-8,8,"E-D-D-D"
34,"Kairat",1,4,0,1,3,2,11,-9,8,"E-D-D-D"
35,"Benfica",0,4,0,0,4,2,8,-6,0,"D-D-D-D"
36,"Ajax",0,4,0,0,4,1,14,-13,0,"D-D-D-D"
