Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
17/08/2024,Manchester United,0,1,Arsenal,Old Trafford,Vitoria,3,3
23/08/2024,Arsenal,5,0,Leeds United,Arsenal Stadium,Vitoria,3,6
31/08/2024,Liverpool,1,0,Arsenal,Anfield,Derrota,0,6
13/09/2024,Arsenal,3,0,Nottingham Forest,Arsenal Stadium,Vitoria,3,9
21/09/2024,Arsenal,1,1,Manchester City,Arsenal Stadium,Empate,1,10
28/09/2024,Newcastle,1,2,Arsenal,St James' Park,Vitoria,3,13
04/10/2024,Arsenal,2,0,West Ham,Arsenal Stadium,Vitoria,3,16
18/10/2024,Fulham,0,1,Arsenal,Craven Cottage,Vitoria,0,19
26/10/2024,Arsenal,1,0,Crystal Palace,Arsenal Stadium,Vitoria,3,22
01/11/2024,Burnley,0,2,Arsenal,Turf Moor,Vitoria,3,25
08/11/2024,Sunderland,2,2,Arsenal,Stadium of Light,Empate,1,26
