Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
16/08/2024,Aston Villa,0,0,Newcastle,Villa Park,Empate,1,1
23/08/2024,Brentford,1,0,Aston Villa,Brentford Community Stadium,Derrota,0,1
31/08/2024,Aston Villa,0,3,Crystal Palace,Villa Park,Derrota,0,1
13/09/2024,Everton,0,0,Aston Villa,Hill Dickinson Stadium,Empate,1,2
21/09/2024,Sunderland,1,1,Aston Villa,Stadium of Light,Empate,1,3
28/09/2024,Aston Villa,3,1,Fulham,Villa Park,Vitoria,3,6
05/10/2024,Aston Villa,2,1,Burnley,Villa Park,Vitoria,3,9
18/10/2024,Tottenham,1,2,Aston Villa,Tottenham Hotspur Stadium,Vitoria,0,12
26/10/2024,Aston Villa,1,0,Manchester City,Villa Park,Vitoria,3,15
01/11/2024,Liverpool,2,0,Aston Villa,Anfield,Derrota,0,15
09/11/2024,Aston Villa,4,0,Bournemouth,Villa Park,Vitoria,3,18
