Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
15/08/2024,Liverpool,4,2,Bournemouth,Anfield,Derrota,0,0
23/08/2024,Bournemouth,1,0,Wolverhampton,Vitality Stadium,Vitoria,3,3
30/08/2024,Tottenham,0,1,Bournemouth,Tottenham Hotspur Stadium,Vitoria,3,6
13/09/2024,Bournemouth,2,1,Brighton,Vitality Stadium,Vitoria,3,9
21/09/2024,Bournemouth,0,0,Newcastle,Vitality Stadium,Empate,1,10
27/09/2024,Leeds United,2,2,Bournemouth,Elland Road,Empate,1,11
03/10/2024,Bournemouth,3,1,Fulham,Vitality Stadium,Vitoria,3,14
26/10/2024,Bournemouth,2,0,Nottingham Forest,Vitality Stadium,Vitoria,3,17
02/11/2024,Manchester City,3,1,Bournemouth,City of Manchester,Derrota,0,17
09/11/2024,Aston Villa,4,0,Bournemouth,Villa Park,Derrota,0,17
