Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
17/08/2024,Nottingham Forest,3,1,Brentford,City Ground,Derrota,0,0
23/08/2024,Brentford,1,0,Aston Villa,Brentford Community Stadium,Vitoria,3,3
30/08/2024,Sunderland,1,1,Brentford,Stadium of Light,Empate,1,4
13/09/2024,Brentford,2,2,Chelsea,Brentford Community Stadium,Empate,1,5
20/09/2024,Fulham,3,1,Brentford,Craven Cottage,Derrota,0,5
27/09/2024,Brentford,3,1,Manchester United,Brentford Community Stadium,Vitoria,3,8
05/10/2024,Brentford,0,1,Manchester City,Brentford Community Stadium,Derrota,0,8
20/10/2024,West Ham,0,2,Brendford,Olímpico de Londres,Vitoria,3,11
25/10/2024,Brentford,3,2,Liverpool,Brentford Community Stadium,Vitoria,3,14
01/11/2024,Crystal Palace,2,0,Brentford,Selhurst Park,Derrota,0,14
09/11/2024,Brentford,3,1,Newcastle,Brentford Community Stadium,Vitoria,3,17
