Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
16/08/2024,Brighton,1,1,Fulham,Falmer Stadium,Empate,1,1
24/08/2024,Everton,2,0,Brighton,Hill Dickinson Stadium,Derrota,0,1
31/08/2024,Brighton,2,1,Manchester City,Falmer Stadium,Vitoria,3,4
13/09/2024,Bournemouth,2,1,Brighton,Vitality Stadium,Derrota,0,4
20/09/2024,Brighton,2,2,Tottenham,Falmer Stadium,Empate,1,5
27/09/2024,Chelsea,1,3,Brighton,Stamford Bridge,Vitoria,3,8
05/10/2024,Wolverhampton,1,1,Brighton,Molineux,Empate,1,9
18/11/2024,Brighton,2,1,NewCastle,Falmer Stadium,Vitoria,3,12
25/10/2024,Manchester United,4,2,Brighton,Old Trafford,Derrota,0,12
01/11/2024,Brighton,3,0,Leeds United,Falmer Stadium,Vitoria,3,15
09/11/2024,Crystal Palace,0,0,Brighton,Selhurst Park,Empate,1,16
