Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
16/08/2024,Tottenham,3,0,Burnley,Tottenham Hotspur Stadium,Derrota,0,0
23/08/2024,Burnley,2,0,Sunderland,Turf Moor,Vitoria,3,3
30/08/2024,Manchester United,3,2,Burnley,Old Trafford,Derrota,0,3
14/09/2024,Burnley,0,1,Liverpool,Turf Moor,Derrota,0,3
20/09/2024,Burnley,1,1,Nottingham Forest,Turf Moor,Empate,1,4
27/09/2024,Manchester City,5,1,Burnley,City of Manchester,Derrota,0,4
05/10/2024,Aston Villa,2,1,Burnley,Villa Park,Derrota,0,4
18/10/2024,Burnley,2,0,Leeds,Turf Moor,Vitoria,3,7
26/10/2024,Wolverhampton,2,3,Burnley,Molineux,Vitoria,3,10
01/11/2024,Burnley,0,2,Arsenal,Turf Moor,Derrota,0,10
08/11/2024,West Ham,3,2,Burnley,Olímpico de Londres,Derrota,0,10
