Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
17/08/2024,Chelsea,0,0,Crystal Palace,Stamford Bridge,Empate,1,1
22/08/2024,West Ham,1,5,Chelsea,Olímpico de Londres,Vitoria,3,4
30/08/2024,Chelsea,2,0,Fulham,Stamford Bridge,Vitoria,3,7
13/09/2024,Brentford,2,2,Chelsea,Brentford Community Stadium,Empate,1,8
20/09/2024,Manchester United,2,1,Chelsea,Old Trafford,Derrota,0,8
27/09/2024,Chelsea,1,3,Brighton,Stamford Bridge,Derrota,0,8
04/10/2024,Chelsea,2,1,Liverpool,Stamford Bridge,Vitoria,3,11
18/10/2024,Nottingham Forest,0,3,Chelsea,City Ground,Vitoria,3,14
25/10/2024,Chelsea,1,2,Sunderland,Stamford Bridge,Derrota,0,14
01/11/2024,Tottenham,0,1,Chelsea,Tottenham Hotspur Stadium,Vitoria,3,17
08/11/2024,Chelsea,3,0,Wolverhampton,Stamford Bridge,Vitoria,3,20
