Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
17/08/2024,Chelsea,0,0,Crystal Palace,Stamford Bridge,Empate,1,1
24/08/2024,Crystal Palace,1,1,Nottingham Forest,Selhurst Park,Empate,1,2
31/08/2024,Aston Villa,0,3,Crystal Palace,Villa Park,Vitoria,3,5
13/09/2024,Crystal Palace,0,0,Sunderland,Selhurst Park,Empate,1,6
20/09/2024,West Ham,1,2,Crystal Palace,Olímpico de Londres,Vitoria,3,9
27/09/2024,Crystal Palace,2,1,Liverpool,Selhurst Park,Vitoria,3,12
05/10/2024,Everton,2,1,Crystal Palace,Hill Dickinson Stadium,Derrota,0,12
18/10/2024,Crystal Palace,3,3,Bourmemouth,Selhurst Park,Empate,1,13
26/10/2024,Arsenal,1,0,Crystal Palace,Arsenal Stadium,Derrota,0,13
01/11/2024,Crystal Palace,2,0,Brentford,Selhurst Park,Vitoria,3,16
09/11/2024,Crystal Palace,0,0,Brighton,Selhurst Park,Empate,1,17
