Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
18/08/2024,Leeds United,1,0,Everton,Elland Road,Derrota,0,0
24/08/2024,Everton,2,0,Brighton,Hill Dickinson Stadium,Vitoria,3,3
30/08/2024,Wolverhampton,2,3,Everton,Molineux,Vitoria,3,6
13/09/2024,Everton,0,0,Aston Villa,Hill Dickinson Stadium,Empate,1,7
20/09/2024,Liverpool,2,1,Everton,Anfield,Derrota,0,7
29/09/2024,Everton,1,1,West Ham,Hill Dickinson Stadium,Empate,1,8
05/10/2024,Everton,2,1,Crystal Palace,Hill Dickinson Stadium,Vitoria,3,11
18/10/2024,Manchester city,2,0,Everton,Old Trafford,Vitoria,0,11
26/10/2024,Everton,0,3,Tottenham,Hill Dickinson Stadium,Derrota,0,11
03/11/2024,Sunderland,1,1,Everton,Stadium of Light,Empate,1,12
08/11/2024,Everton,2,0,Fulham,Hill Dickinson Stadium,Vitoria,3,15
