Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
16/08/2024,Brighton,1,1,Fulham,Falmer Stadium,Empate,1,1
24/08/2024,Fulham,1,1,Manchester United,Craven Cottage,Empate,1,2
30/08/2024,Chelsea,2,0,Fulham,Stamford Bridge,Derrota,0,2
13/09/2024,Fulham,1,0,Leeds United,Craven Cottage,Vitoria,3,5
20/09/2024,Fulham,3,1,Brentford,Craven Cottage,Vitoria,3,8
28/09/2024,Aston Villa,3,1,Fulham,Villa Park,Derrota,0,8
03/10/2024,Bournemouth,3,1,Fulham,Vitality Stadium,Derrota,0,8
18/10/2024,Fulham,0,1,Arsenal,Craven Cottage,Derrota,0,8
25/10/2024,Newcastle,1,0,Fulham,St James' Park,Derrota,0,8
01/11/2024,Fulham,3,0,Wolverhampton,Craven Cottage,Vitoria,3,11
08/11/2024,Everton,2,0,Fulham,Hill Dickinson Stadium,Derrota,0,11
