Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
18/08/2024,Leeds United,1,0,Everton,Elland Road,Vitoria,3,3
23/08/2024,Arsenal,5,0,Leeds United,Arsenal Stadium,Derrota,0,3
30/08/2024,Leeds United,0,0,Newcastle,Elland Road,Empate,1,4
13/09/2024,Fulham,1,0,Leeds United,Craven Cottage,Derrota,0,4
20/09/2024,Wolverhampton,1,3,Leeds United,Molineux,Vitoria,3,7
27/09/2024,Leeds United,2,2,Bournemouth,Elland Road,Empate,1,8
04/10/2024,Leeds United,1,2,Tottenham,Elland Road,Derrota,0,8
24/10/2024,Leeds United,2,1,West Ham,Elland Road,Vitoria,3,11
01/11/2024,Brighton,3,0,Leeds United,Falmer Stadium,Derrota,0,11
09/11/2024,Nottingham Forest,3,1,Leeds United,City Ground,Derrota,0,11
