Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
15/08/2024,Liverpool,4,2,Bournemouth,Anfield,Vitoria,3,3
25/08/2024,Newcastle,2,3,Liverpool,St James' Park,Vitoria,3,6
31/08/2024,Liverpool,1,0,Arsenal,Anfield,Vitoria,3,9
14/09/2024,Burnley,0,1,Liverpool,Turf Moor,Vitoria,3,12
20/09/2024,Liverpool,2,1,Everton,Anfield,Vitoria,3,15
27/09/2024,Crystal Palace,2,1,Liverpool,Selhurst Park,Derrota,0,15
04/10/2024,Chelsea,2,1,Liverpool,Stamford Bridge,Derrota,0,15
18/10/2024,Liverpool,1,2,Manchester United,Anfield,Derrota,0,15
25/10/2024,Brentford,3,2,Liverpool,Brentford Community Stadium,Derrota,0,15
01/11/2024,Liverpool,2,0,Aston Villa,Anfield,Vitoria,3,18
09/11/2024,Manchester City,3,0,Liverpool,City of Manchester,Derrota,0,18
