Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
16/08/2024,Wolverhampton,0,4,Manchester City,Molineux,Vitoria,3,3
23/08/2024,Manchester City,0,2,Tottenham,City of Manchester,Derrota,0,3
31/08/2024,Brighton,2,1,Manchester City,Falmer Stadium,Derrota,0,3
14/09/2024,Manchester City,3,0,Manchester United,City of Manchester,Vitoria,3,6
21/09/2024,Arsenal,1,1,Manchester City,Arsenal Stadium,Empate,1,7
27/09/2024,Manchester City,5,1,Burnley,City of Manchester,Vitoria,3,10
05/10/2024,Brentford,0,1,Manchester City,Brentford Community Stadium,Vitoria,3,13
26/10/2024,Aston Villa,1,0,Manchester City,Villa Park,Derrota,0,13
02/11/2024,Manchester City,3,1,Bournemouth,City of Manchester,Vitoria,3,16
09/11/2024,Manchester City,3,0,Liverpool,City of Manchester,Vitoria,3,19
