Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
17/08/2024,Manchester United,0,1,Arsenal,Old Trafford,Derrota,0,0
24/08/2024,Fulham,1,1,Manchester United,Craven Cottage,Empate,1,1
30/08/2024,Manchester United,3,2,Burnley,Old Trafford,Vitoria,3,4
14/09/2024,Manchester City,3,0,Manchester United,City of Manchester,Derrota,0,4
20/09/2024,Manchester United,2,1,Chelsea,Old Trafford,Vitoria,3,7
27/09/2024,Brentford,3,1,Manchester United,Brentford Community Stadium,Derrota,0,7
04/10/2024,Manchester United,2,0,Sunderland,Old Trafford,Vitoria,3,10
25/10/2024,Manchester United,4,2,Brighton,Old Trafford,Vitoria,3,13
01/11/2024,Nottingham Forest,2,2,Manchester United,City Ground,Empate,1,14
08/11/2024,Tottenham,2,2,Manchester United,Tottenham Hotspur Stadium,Empate,1,15
