Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
16/08/2024,Aston Villa,0,0,Newcastle,Villa Park,Empate,1,1
25/08/2024,Newcastle,2,3,Liverpool,St James' Park,Derrota,0,1
30/08/2024,Leeds United,0,0,Newcastle,Elland Road,Empate,1,2
13/09/2024,Newcastle,1,0,Wolverhampton,St James' Park,Vitoria,3,5
21/09/2024,Bournemouth,0,0,Newcastle,Vitality Stadium,Empate,1,6
28/09/2024,Newcastle,1,2,Arsenal,St James' Park,Derrota,0,6
05/10/2024,Newcastle,2,0,Nottingham Forest,St James' Park,Vitoria,3,9
25/10/2024,Newcastle,1,0,Fulham,St James' Park,Vitoria,3,12
02/11/2024,West Ham,3,1,Newcastle,Olímpico de Londres,Derrota,0,12
09/11/2024,Brentford,3,1,Newcastle,Brentford Community Stadium,Derrota,0,12
