Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
17/08/2024,Nottingham Forest,3,1,Brentford,City Ground,Vitoria,3,3
24/08/2024,Crystal Palace,1,1,Nottingham Forest,Selhurst Park,Empate,1,4
31/08/2024,Nottingham Forest,0,3,West Ham,City Ground,Derrota,0,4
13/09/2024,Arsenal,3,0,Nottingham Forest,Arsenal Stadium,Derrota,0,4
20/09/2024,Burnley,1,1,Nottingham Forest,Turf Moor,Empate,1,5
27/09/2024,Nottingham Forest,0,1,Sunderland,City Ground,Derrota,0,5
05/10/2024,Newcastle,2,0,Nottingham Forest,St James' Park,Derrota,0,5
26/10/2024,Bournemouth,2,0,Nottingham Forest,Vitality Stadium,Derrota,0,5
01/11/2024,Nottingham Forest,2,2,Manchester United,City Ground,Empate,1,6
09/11/2024,Nottingham Forest,3,1,Leeds United,City Ground,Vitoria,3,9
