Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
16/08/2024,Sunderland,3,0,West Ham,Stadium of Light,Vitoria,3,3
23/08/2024,Burnley,2,0,Sunderland,Turf Moor,Derrota,0,3
30/08/2024,Sunderland,1,1,Brentford,Stadium of Light,Empate,1,4
13/09/2024,Crystal Palace,0,0,Sunderland,Selhurst Park,Empate,1,5
21/09/2024,Sunderland,1,1,Aston Villa,Stadium of Light,Empate,1,6
27/09/2024,Nottingham Forest,0,1,Sunderland,City Ground,Vitoria,3,9
04/10/2024,Manchester United,2,0,Sunderland,Old Trafford,Derrota,0,9
25/10/2024,Chelsea,1,2,Sunderland,Stamford Bridge,Vitoria,3,12
03/11/2024,Sunderland,1,1,Everton,Stadium of Light,Empate,1,13
08/11/2024,Sunderland,2,2,Arsenal,Stadium of Light,Empate,1,14
