Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
16/08/2024,Tottenham,3,0,Burnley,Tottenham Hotspur Stadium,Vitoria,3,3
23/08/2024,Manchester City,0,2,Tottenham,City of Manchester,Vitoria,3,6
30/08/2024,Tottenham,0,1,Bournemouth,Tottenham Hotspur Stadium,Derrota,0,6
13/09/2024,West Ham,0,3,Tottenham,Olímpico de Londres,Vitoria,3,9
20/09/2024,Brighton,2,2,Tottenham,Falmer Stadium,Empate,1,10
27/09/2024,Tottenham,1,1,Wolverhampton,Tottenham Hotspur Stadium,Empate,1,11
04/10/2024,Leeds United,1,2,Tottenham,Elland Road,Vitoria,3,14
26/10/2024,Everton,0,3,Tottenham,Hill Dickinson Stadium,Vitoria,3,17
01/11/2024,Tottenham,0,1,Chelsea,Tottenham Hotspur Stadium,Derrota,0,17
08/11/2024,Tottenham,2,2,Manchester United,Tottenham Hotspur Stadium,Empate,1,18
