Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
16/08/2024,Sunderland,3,0,West Ham,Stadium of Light,Derrota,0,0
22/08/2024,West Ham,1,5,Chelsea,Olímpico de Londres,Derrota,0,0
31/08/2024,Nottingham Forest,0,3,West Ham,City Ground,Vitoria,3,3
13/09/2024,West Ham,0,3,Tottenham,Olímpico de Londres,Derrota,0,3
20/09/2024,West Ham,1,2,Crystal Palace,Olímpico de Londres,Derrota,0,3
29/09/2024,Everton,1,1,West Ham,Hill Dickinson Stadium,Empate,1,4
04/10/2024,Arsenal,2,0,West Ham,Arsenal Stadium,Derrota,0,4
20/10/2024,West Ham,0,2,Brendford,Olímpico de Londres,Derrota,0,4
24/10/2024,Leeds United,2,1,West Ham,Elland Road,Derrota,0,4
02/11/2024,West Ham,3,1,Newcastle,Olímpico de Londres,Vitoria,3,7
08/11/2024,West Ham,3,2,Burnley,Olímpico de Londres,Vitoria,3,10
