Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
16/08/2024,Wolverhampton,0,4,Manchester City,Molineux,Derrota,0,0
23/08/2024,Bournemouth,1,0,Wolverhampton,Vitality Stadium,Derrota,0,0
30/08/2024,Wolverhampton,2,3,Everton,Molineux,Derrota,0,0
13/09/2024,Newcastle,1,0,Wolverhampton,St James' Park,Derrota,0,0
20/09/2024,Wolverhampton,1,3,Leeds United,Molineux,Derrota,0,0
27/09/2024,Tottenham,1,1,Wolverhampton,Tottenham Hotspur Stadium,Empate,1,1
05/10/2024,Wolverhampton,1,1,Brighton,Molineux,Empate,1,2
18/10/2024,Sunderland,2,0,Wolverhampton,Stadium of Light,Derrota,0,2
26/10/2024,Wolverhampton,2,3,Burnley,Molineux,Derrota,0,2
01/11/2024,Fulham,3,0,Wolverhampton,Craven Cottage,Derrota,0,2
08/11/2024,Chelsea,3,0,Wolverhampton,Stamford Bridge,Derrota,0,2
