Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
18/10/2025,Cor,1,1,Atl,Neo Quimica Arena,Derrota,0,33
15/10/2025,Atl,1,1,Cru,Arena MRV,Empate,1,33
8/10/2025,Atl,3,1,Spt,Arena MRV,Empate,3,32
4/10/2025,Flu,3,0,Atl,Maracana,Derrota,0,29
30/09/2025,Atl,0,0,Juv,ARENA MRV,Empate,1,29
27/09/2025,Atl,1,0,Mir,ARENA MRV,Vitoria,3,28
20/09/2025,Bot,1,0,Atl,Nilton Santos,Derrota,0,25
14/09/2025,Atl,1,1,San,ARENA MRV,Empate,1,25
31/08/2025,Vit,1,0,Atl,Manoel Barradas,Derrota,0,24
24/08/2025,Sao,2,0,Atl,Morumbi,Derrota,0,24
17/08/2025,Atl,1,3,Gre,ARENA MRV,Derrota,0,24
10/8/2025,Vas,1,1,Atl,Sao Januario,Empate,1,24
3/8/2025,Atl,2,1,Red,ARENA MRV,Vitoria,3,23
27/07/2025,Fla,1,0,Atl,Maracana,Derrota,0,20
20/07/2025,Pal,3,2,Atl,Allianz Parque,Derrota,0,20
12/7/2025,Bah,2,1,Atl,Arena Fonte Nova,Derrota,0,20
12/6/2025,Atl,2,0,Int,ARENA MRV,Vitoria,3,20
1/6/2025,Cea,0,1,Atl,Arena Castelao,Vitoria,3,17
24/05/2025,Atl,0,0,Cor,ARENA MRV,Empate,1,14
18/05/2025,Cru,0,0,Atl,Mineirao,Empate,1,13
11/5/2025,Atl,3,2,Flu,ARENA MRV,Vitoria,3,12
5/5/2025,Juv,0,1,Atl,Alfredo Jaconi,Vitoria,3,9
26/04/2025,Mir,2,2,Atl,Jose Maria de Campos Maia,Empate,1,6
20/04/2025,Atl,1,0,Bot,Mineirao,Vitoria,3,5
16/04/2025,San,2,0,Atl,Vila Belmiro,Derrota,0,2
13/04/2025,Atl,2,2,Vit,Mineirao,Empate,1,2
6/4/2025,Atl,0,0,Sao,Mineirao,Empate,1,1
29/03/2025,Gre,2,1,Atl,Arena do Gremio,Derrota,0,0
