Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
02/11/2025,Bah,2,1,Red,Arena Fonte Nova,Vitoria,3,52
25/10/2025,Sao,2,0,Bah,Morumbi,Derrota,0,49
19/10/2025,Bah,4,0,Gre,Arena Fonte Nova,Vitoria,3,49
16/10/2025,Vit,2,1,Bah,Salvador,Derrota,0,46
6/10/2025,Bah,1,0,Fla,Arena Fonte Nova,Vitoria,3,46
1/10/2025,Bot,2,1,Bah,Nilton Santos,Derrota,0,40
28/09/2025,Bah,1,0,Pal,Arena Fonte Nova,Vitoria,3,40
24/09/2025,Vas,3,1,Bah,Sao Januario,Derrota,0,37
20/09/2025,Cea,1,1,Bah,Arena Castelao,Empate,1,37
15/09/2025,Bah,1,2,Cru,Arena Fonte Nova,Derrota,0,36
31/08/2025,Mir,5,1,Bah,Jose Maria de Campos Maia,Derrota,0,36
24/08/2025,Bah,2,0,San,Arena Fonte Nova,Vitoria,3,36
16/08/2025,Cor,1,2,Bah,Neo Quimica Arena,Vitoria,3,33
9/8/2025,Bah,3,3,Flu,Arena Fonte Nova,Empate,1,30
2/8/2025,Spo,0,0,Bah,Ilha do Retiro,Empate,1,29
27/07/2025,Bah,3,0,Juv,Arena Fonte Nova,Vitoria,3,28
19/07/2025,For,1,1,Bah,Arena Castelao,Empate,1,25
12/7/2025,Bah,2,1,Atl,Arena Fonte Nova,Vitoria,3,24
12/6/2025,Red,0,3,Bah,Cicero de Souza Marques,Vitoria,3,21
31/05/2025,Bah,2,1,Sao,Arena Fonte Nova,Vitoria,3,18
25/05/2025,Gre,1,0,Bah,Arena do Gremio,Derrota,0,15
18/05/2025,Bah,2,1,Vit,Arena Fonte Nova,Vitoria,3,15
10/5/2025,Fla,1,0,Bah,Maracana,Derrota,0,12
3/5/2025,Bah,1,0,Bot,Arena Fonte Nova,Vitoria,3,12
27/04/2025,Pal,0,1,Bah,Allianz Parque,Vitoria,3,9
21/04/2025,Bah,1,0,Cea,Arena Fonte Nova,Vitoria,3,6
17/04/2025,Cru,3,0,Bah,Mineirao,Derrota,0,3
13/04/2025,Bah,1,1,Mir,Arena Fonte Nova,Empate,1,3
6/4/2025,San,2,2,Bah,Vila Belmiro,Empate,1,2
30/03/2025,Bah,1,1,Cor,Arena Fonte Nova,Empate,1,1
