Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
15/10/2025,Bot,0,3,Fla,Nilton Santos,Derrota,0,43
1/10/2025,Int,2,0,bOT,Beir Rio,Derrota,0,43
1/10/2025,Bot,2,1,Bah,Nilton Santos,Vitoria,3,43
28/09/2025,Flu,2,0,Bot,Maracana,Derrota,0,40
24/09/2025,Gre,1,1,Bot,Arena do Gremio,Empate,1,40
20/09/2025,Bot,1,0,Atl,Nilton Santos,Vitoria,3,39
17/09/2025,Bot,3,3,Mir,Nilton Santos,Empate,1,36
14/09/2025,Sao,1,0,Bot,Morumbi,Derrota,0,35
30/08/2025,Bot,4,1,Red,Nilton Santos,Vitoria,3,35
24/08/2025,Juv,1,3,Bot,Alfredo Jaconi,Vitoria,3,32
17/08/2025,Bot,0,1,Pal,Nilton Santos,Derrota,0,29
9/8/2025,For,0,5,Bot,Arena Castelao,Vitoria,3,29
3/8/2025,Bot,0,2,Cru,Nilton Santos,Derrota,0,26
26/07/2025,Bot,1,1,Cor,Nilton Santos,Empate,1,26
20/07/2025,Spo,0,1,Bot,Ilha do Retiro,Vitoria,3,25
16/07/2025,Bot,0,0,Vit,Nilton Santos,Empate,1,22
12/7/2025,Vas,0,2,Bot,Mane Garrincha,Vitoria,3,21
4/6/2025,Bot,3,2,Cea,Nilton Santos,Vitoria,3,18
1/6/2025,San,0,1,Bot,Vila Belmiro,Vitoria,3,15
18/05/2025,Fla,0,0,Bot,Maracana,Empate,1,12
11/5/2025,Bot,4,0,Int,Nilton Santos,Vitoria,3,11
3/5/2025,Bah,1,0,Bot,Arena Fonte Nova,Derrota,0,8
26/04/2025,Bot,2,0,Flu,Nilton Santos,Vitoria,3,8
20/04/2025,Atl,1,0,Bot,Mineirao,Derrota,0,5
16/04/2025,Bot,2,2,Sao,Nilton Santos,Empate,1,5
12/4/2025,Red,1,0,Bot,Nabi Abi Chedid,Derrota,0,4
5/4/2025,Bot,2,0,Juv,Nilton Santos,Vitoria,3,4
30/03/2025,Pal,0,0,Bot,Allianz Parque,Empate,1,1
