Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
15/10/2025,Spo,1,1,Cea,Recife,Empate,1,35
6/10/2025,Cea,3,0,San,Arena Castelao,Vitoria,3,34
2/10/2025,Vit,1,0,Cea,Manoel Barradas,Derrota,0,31
29/09/2025,Sao,0,1,Cea,Morumbi,Vitoria,3,31
20/09/2025,Cea,1,1,Bah,Arena Castelao,Empate,1,28
14/09/2025,Vas,2,2,Cea,Sao Januario,Empate,1,27
30/08/2025,Cea,0,1,Juv,Arena Castelao,Derrota,0,26
23/08/2025,Gre,0,0,Cea,Arena do Gremio,Empate,1,26
16/08/2025,Cea,1,0,Red,Arena Castelao,Vitoria,3,25
10/8/2025,Pal,2,1,Cea,Allianz Parque,Derrota,0,22
3/8/2025,Cea,1,1,Fla,Arena Castelao,Empate,1,22
27/07/2025,Cru,1,2,Cea,Mineirao,Vitoria,3,21
23/07/2025,Cea,0,2,Mir,Arena Castelao,Derrota,0,18
20/07/2025,Int,1,0,Cea,Beira,Derrota,0,18
16/07/2025,Cea,0,1,Cor,Arena Castelao,Derrota,0,18
13/07/2025,For,0,1,Cea,Arena Castelao,Vitoria,3,18
4/6/2025,Bot,3,2,Cea,Nilton Santos,Derrota,0,15
1/6/2025,Cea,0,1,Atl,Arena Castelao,Derrota,0,15
17/05/2025,Cea,2,0,Spo,Arena Castelao,Vitoria,3,15
12/5/2025,San,0,0,Cea,Allianz Parque,Empate,1,12
3/5/2025,Cea,1,0,Vit,Presidente Vargas,Vitoria,3,11
26/04/2025,Cea,1,1,Sao,Arena Castelao,Empate,1,8
21/04/2025,Bah,1,0,Cea,Arena Fonte Nova,Derrota,0,7
15/04/2025,Cea,2,1,Vas,Arena Castelao,Vitoria,3,7
12/4/2025,Juv,2,1,Cea,Alfredo Jaconi,Derrota,0,4
5/4/2025,Cea,2,0,Gre,Arena Castelao,Vitoria,3,4
31/03/2025,Red,2,2,Cea,Nabi Abi Chedid,Empate,1,1
