Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
05/11/2025,Red,2,1,Cor,Cicero de Souza Marques,Derrota,0,42
2/11/2025,Cor,2,0,Gre,Neo Quimica Arena,Vitoria,3,42
25/10/2025,Vit,0,1,Cor,Salvador,Vitoria,3,39
18/10/2025,Cor,1,1,Atl,Neo Quimica Arena,Derrota,3,36
15/10/2025,San,3,1,Cpr,Santos,Derrota,0,33
4/10/2025,Cor,3,0,Mir,Morumbi,Vitoria,3,33
1/10/2025,Int,1,1,Cor,Beira Rio,Empate,1,30
28/09/2025,Cor,1,2,Fla,Morumbi,Derrota,0,29
21/09/2025,Spo,1,0,Cor,Recife - PE,Derrota,0,29
13/09/2025,Flu,0,1,Cor,Rio de Janeiro - RJ,Vitoria,3,29
31/08/2025,Cor,1,1,Pal,Sao Paulo - SP,Empate,1,26
24/08/2025,Vas,2,3,Cor,Rio de Janeiro - RJ,Vitoria,3,25
16/08/2025,Cor,1,2,Bah,Sao Paulo - SP,Derrota,0,22
11/8/2025,Juv,2,1,Cor,Caxias do Sul - RS,Derrota,0,22
3/8/2025,Cor,1,1,For,Sao Paulo - SP,Empate,1,22
26/07/2025,Bot,1,1,Cor,Rio de Janeiro - RJ,Empate,1,21
23/07/2025,Cor,0,0,Cru,Sao Paulo - SP,Empate,1,20
19/07/2025,Sao,2,0,Cor,Sao Paulo - SP,Derrota,0,19
16/07/2025,Cea,0,1,Cor,Fortaleza - CE,Vitoria,3,19
13/07/2025,Cor,1,2,Red,Sao Paulo - SP,Derrota,0,16
12/6/2025,Gre,1,1,Cor,Porto Alegre - RS,Empate,1,16
1/6/2025,Cor,0,0,Vit,Sao Paulo - SP,Empate,1,15
24/05/2025,Atl,0,0,Cor,Belo Horizonte - MG,Empate,1,14
18/05/2025,Cor,1,0,San,Sao Paulo - SP,Vitoria,3,13
10/5/2025,Mir,2,1,Cor,Mirassol - SP,Derrota,0,10
3/5/2025,Cor,4,2,Int,Sao Paulo - SP,Vitoria,3,10
27/04/2025,Fla,4,0,Cor,Rio de Janeiro - RJ,Derrota,0,7
19/04/2025,Cor,2,1,Spo,Sao Paulo - SP,Vitoria,3,7
16/04/2025,Cor,0,2,Flu,Sao Paulo - SP,Derrota,0,4
12/4/2025,Pal,2,0,Cor,Barueri - SP,Derrota,0,4
5/4/2025,Cor,3,0,Vas,Sao Paulo - SP,Vitoria,3,4
30/03/2025,Bah,1,1,Cor,Salvador - BA,Empate,1,1
