Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
8/11/2025,Inter,2,2,Bah,Beira Rio,Empate,1,37
5/11/2025,Vit,1,0,Int,Salvador,Derrota,0,36
02/11/2025,Inter,0,0,Atl,Beira Rio,Empate,1,36
25/10/2025,Flu,1,0,Int,maracana,Derrota,0,35
19/10/2025,Inter,2,0,Spo,Beira Rio,Vitoria,3,35
15/10/2025,Mir,3,1,Int,Mirassol,Derrota,0,32
4/10/2025,Int,2,0,Bot,Porto Alegre,Vitoria,3,32
1/10/2025,Int,1,1,Cor,Porto Alegre,Empate,1,29
27/09/2025,Juv,1,1,Int,Alfredo Jaconi,Empate,1,28
21/09/2025,Int,2,3,Gre,Beira,Derrota,0,27
13/09/2025,Pal,4,1,Int,Allianz Parque,Derrota,0,27
31/08/2025,Int,2,1,For,Beira,Vitoria,3,27
23/08/2025,Cru,2,1,Int,Mineirao,Derrota,0,24
17/08/2025,Int,1,3,Fla,Beira,Derrota,0,24
9/8/2025,Red,1,3,Int,Cicero de Souza Marques,Vitoria,3,24
3/8/2025,Int,1,2,Sao,Beira,Derrota,0,21
27/07/2025,Int,1,1,Vas,Beira,Empate,1,21
23/07/2025,San,1,2,Int,Vila Belmiro,Vitoria,3,20
20/07/2025,Int,1,0,Cea,Beira,Vitoria,3,17
12/7/2025,Int,1,0,Vit,Beira,Vitoria,3,14
12/6/2025,Atl,2,0,Int,ARENA MRV,Derrota,0,11
1/6/2025,Int,0,2,Flu,Beira,Derrota,0,11
25/05/2025,Spo,1,1,Int,Ilha do Retiro,Empate,1,11
18/05/2025,Int,1,1,Mir,Beira,Empate,1,10
11/5/2025,Bot,4,0,Int,Nilton Santos,Derrota,0,9
3/5/2025,Cor,4,2,Int,Neo Quimica Arena,Derrota,0,9
26/04/2025,Int,3,1,Juv,Beira,Vitoria,3,9
19/04/2025,Gre,1,1,Int,Arena do Gremio,Empate,1,6
16/04/2025,Int,0,1,Pal,Beira,Derrota,0,5
13/04/2025,For,0,0,Int,Arena Castelao,Empate,1,5
6/4/2025,Int,3,0,Cru,Beira,Vitoria,3,4
29/03/2025,Fla,1,1,Int,Maracana,Empate,1,1
