Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
20/10/2025,Juv,1,0,Red,Alfredo Jaconi,Vitoria,0,26
16/10/2025,Flu,1,0,Juv,maracana,Derrota,0,23
11/10/2025,Pal,5,1,Juv,Allianz Arena,Derrota,0,23
6/10/2025,Juv,1,2,For,Alfredo Jaconi,Derrota,0,23
30/09/2025,Atl,0,0,Juv,Belo Horizonte - MG,Empate,1,23
27/09/2025,Juv,1,1,Int,Alfredo Jaconi,Empate,1,22
21/09/2025,Mir,2,0,Juv,Jose Maria de Campos Maia,Derrota,0,21
14/09/2025,Juv,0,2,Fla,Alfredo Jaconi,Derrota,0,21
30/08/2025,Cea,0,1,Juv,Arena Castelao,Vitoria,3,21
24/08/2025,Juv,1,3,Bot,Alfredo Jaconi,Derrota,0,18
20/08/2025,Juv,2,0,Vas,Alfredo Jaconi,Vitoria,3,18
16/08/2025,Vit,2,2,Juv,Manoel Barradas,Empate,1,15
11/8/2025,Juv,2,1,Cor,Alfredo Jaconi,Vitoria,3,14
4/8/2025,San,3,1,Juv,Morumbi,Derrota,0,11
27/07/2025,Bah,3,0,Juv,Arena Fonte Nova,Derrota,0,11
24/07/2025,Juv,0,1,Sao,Alfredo Jaconi,Derrota,0,11
20/07/2025,Cru,4,0,Juv,Mineirao,Derrota,0,11
14/07/2025,Juv,2,0,Spo,Alfredo Jaconi,Vitoria,3,11
1/6/2025,Juv,0,2,Gre,Alfredo Jaconi,Derrota,0,8
26/05/2025,Red,1,0,Juv,Cicero de Souza Marques,Derrota,0,8
18/05/2025,Juv,1,1,Flu,Alfredo Jaconi,Empate,1,8
10/5/2025,For,5,0,Juv,Presidente Vargas,Derrota,0,7
5/5/2025,Juv,0,1,Atl,Alfredo Jaconi,Derrota,0,7
26/04/2025,Int,3,1,Juv,Beira,Derrota,0,7
20/04/2025,Juv,2,2,Mir,Alfredo Jaconi,Empate,1,7
16/04/2025,Fla,6,0,Juv,Maracana,Derrota,0,6
12/4/2025,Juv,2,1,Cea,Alfredo Jaconi,Vitoria,3,6
5/4/2025,Bot,2,0,Juv,Nilton Santos,Derrota,0,3
29/03/2025,Juv,2,0,Vit,Alfredo Jaconi,Vitoria,3,3
