Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
9/11/2025,Mir,2,1,Pal,Mirassol,Derrota,0,68
5/11/2025,Pal,2,0,San,Allianz Parque,Vitoria,3,68
02/11/2025,Juv,0,2,Pal,Alfredo Jaconi,Vitoria,65
26/10/2025,Pal,1,1,Cru,Allianz Parque,Empate,1,62
19/10/2025,Fla,3,2,Pal,Maracana,Derrota,0,61
15/10/2025,Pal,5,1,Red,Allianz Parque,Vitoria,3,61
11/10/2025,Pal,4,1,Juv,A,Vitoria,3,58
6/10/2025,São,2,3,Pal,Sao Paulo - SP,Vitoria,3,55
1/10/2025,Pal,3,0,Vas,Sao Paulo - SP,Vitoria,3,52
28/09/2025,Bah,1,0,Pal,Arena Fonte Nova,Derrota,0,49
20/09/2025,Pal,4,1,For,Allianz Parque,Vitoria,3,49
13/09/2025,Pal,4,1,Int,Allianz Parque,Vitoria,3,46
31/08/2025,Cor,1,1,Pal,Neo Quimica Arena,Empate,1,43
25/08/2025,Pal,3,0,Spo,Allianz Parque,Vitoria,3,42
17/08/2025,Bot,0,1,Pal,Nilton Santos,Vitoria,3,39
10/8/2025,Pal,2,1,Cea,Allianz Parque,Vitoria,3,36
3/8/2025,Vit,2,2,Pal,Manoel Barradas,Empate,1,33
26/07/2025,Pal,1,0,Gre,Allianz Parque,Vitoria,3,32
23/07/2025,Flu,1,2,Pal,Maracana,Vitoria,3,29
20/07/2025,Pal,3,2,Atl,Allianz Parque,Vitoria,3,26
16/07/2025,Pal,1,1,Mir,Allianz Parque,Empate,1,23
1/6/2025,Cru,2,1,Pal,Mineirao,Derrota,0,22
25/05/2025,Pal,0,2,Fla,Allianz Parque,Derrota,0,22
18/05/2025,Red,1,2,Pal,Cicero de Souza Marques,Vitoria,3,22
11/5/2025,Pal,1,0,Sao,Arena Barueri,Vitoria,3,19
4/5/2025,Vas,0,1,Pal,Mane Garrincha,Vitoria,3,16
27/04/2025,Pal,0,1,Bah,Allianz Parque,Derrota,0,13
20/04/2025,For,1,2,Pal,Arena Castelao,Vitoria,3,13
16/04/2025,Int,0,1,Pal,Beira,Vitoria,3,10
12/4/2025,Pal,2,0,Cor,Arena Barueri,Vitoria,3,7
6/4/2025,Spo,1,2,Pal,Ilha do Retiro,Vitoria,3,4
30/03/2025,Pal,0,0,Bot,Allianz Parque,Empate,1,1
