Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
16/11/2025,Red,2,0,Atl,Cicero de Souza Marques,Vitoria,3,45
8/11/2025,Sao,0,1,Red,VIla Belmiro,Vitoria,3,42
05/11/2025,Red,2,1,Cor,Cicero de Souza Marques,Vitoria,3,39
02/11/2025,Bah,2,1,Red,Arena Fonte Nova,Derrota,0,36
26/08/2025,Red,0,3,Vas,Cicero de Souza Marques,Derrota,3,36
20/10/2025,Juv,1,0,Red,Alfredo Jaconi,Derrota,0,36
15/10/2025,Pal,5,1,Red,Arena,Derrota,0,36
4/10/2025,Red,1,0,Gre,Cicero de Souza,Vitoria,3,36
1/10/2025,Mir,1,1,Red,Mirassol - SP,Empate,1,33
28/09/2025,Red,2,2,San,Cicero de Souza Marques,Empate,1,32
21/09/2025,Cru,2,1,Red,Mineirao,Derrota,0,31
14/09/2025,Red,1,1,Spo,Cicero de Souza Marques,Empate,1,31
30/08/2025,Bot,4,1,Red,Nilton Santos,Derrota,0,30
23/08/2025,Red,4,2,Flu,Cicero de Souza Marques,Vitoria,3,30
16/08/2025,Cea,1,0,Red,Arena Castelao,Derrota,0,27
9/8/2025,Red,1,3,Int,Cicero de Souza Marques,Derrota,0,27
3/8/2025,Atl,2,1,Red,ARENA MRV,Derrota,0,27
26/07/2025,For,3,1,Red,Arena Castelao,Derrota,0,27
23/07/2025,Red,1,2,Fla,Cicero de Souza Marques,Derrota,0,27
20/07/2025,Vit,1,0,Red,Manoel Barradas,Derrota,0,27
16/07/2025,Red,2,2,Sao,Cicero de Souza Marques,Empate,1,27
13/07/2025,Cor,1,2,Red,Neo Quimica Arena,Vitoria,3,26
12/6/2025,Red,0,3,Bah,Cicero de Souza Marques,Derrota,0,23
31/05/2025,Vas,0,2,Red,Sao Januario,Vitoria,3,23
26/05/2025,Red,1,0,Juv,Cicero de Souza Marques,Vitoria,3,20
18/05/2025,Red,1,2,Pal,Cicero de Souza Marques,Derrota,0,17
10/5/2025,Gre,1,1,Red,Arena do Gremio,Empate,1,17
5/5/2025,Red,1,0,Mir,Cicero de Souza Marques,Vitoria,3,16
27/04/2025,San,1,2,Red,Vila Belmiro,Vitoria,3,13
20/04/2025,Red,1,0,Cru,Nabi Abi Chedid,Vitoria,3,10
16/04/2025,Spo,0,1,Red,Ilha do Retiro,Vitoria,3,7
12/4/2025,Red,1,0,Bot,Nabi Abi Chedid,Vitoria,3,4
6/4/2025,Flu,2,1,Red,Maracana,Derrota,0,1
31/03/2025,Red,2,2,Cea,Nabi Abi Chedid,Empate,1,1
