Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
5/11/2025,Pal,2,0,San,Allianz Parque,Derrota,0,33
01/10/2025,San,1,1,For,Santos - SP,Empate,0,33
26/10/2025,Bot,2,2,San,Nilton Santos,Empate,1,32
20/10/2025,San,0,1,Vit,Santos - SP,Derrota,0,31
15/10/2025,San,3,1,Cor,Santos - SP,Vitoria,3,31
6/10/2025,Cea,3,0,San,Arena Castelao,Derrota,0,28
1/10/2025,San,1,1,Gre,Santos - SP,Empate,1,28
28/09/2025,Red,2,2,San,Cicero de Souza Marques,Empate,1,27
21/09/2025,San,1,0,Sao,Vila Belmiro,Vitoria,3,26
14/09/2025,Atl,1,1,San,ARENA MRV,Empate,1,23
31/08/2025,San,0,0,Flu,Vila Belmiro,Empate,1,22
24/08/2025,Bah,2,0,San,Arena Fonte Nova,Derrota,0,21
17/08/2025,San,0,6,Vas,Morumbi,Derrota,0,21
10/8/2025,Cru,1,2,San,Mineirao,Vitoria,3,21
4/8/2025,San,3,1,Juv,Morumbi,Vitoria,3,18
26/07/2025,Spo,2,2,San,Ilha do Retiro,Empate,1,15
23/07/2025,San,1,2,Int,Vila Belmiro,Derrota,0,14
19/07/2025,Mir,3,0,San,Jose Maria de Campos Maia,Derrota,0,14
16/07/2025,San,1,0,Fla,Vila Belmiro,Vitoria,3,14
12/6/2025,For,2,3,San,Arena Castelao,Vitoria,3,11
1/6/2025,San,0,1,Bot,Vila Belmiro,Derrota,0,8
25/05/2025,Vit,0,1,San,Manoel Barradas,Vitoria,3,8
18/05/2025,Cor,1,0,San,Neo Quimica Arena,Derrota,0,5
12/5/2025,San,0,0,Cea,Allianz Parque,Empate,1,5
4/5/2025,Gre,1,0,San,Arena do Gremio,Derrota,0,4
27/04/2025,San,1,2,Red,Vila Belmiro,Derrota,0,4
20/04/2025,Sao,2,1,San,Morumbi,Derrota,0,4
16/04/2025,San,2,0,Atl,Vila Belmiro,Vitoria,3,4
13/04/2025,Flu,1,0,San,Maracana,Derrota,0,1
6/4/2025,San,2,2,Bah,Vila Belmiro,Empate,1,1
30/03/2025,Vas,2,1,San,Sao Januario,Derrota,0,0
