Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
25/10/2025,Sao,2,0,Bah,Morumbi,Vitoria,0,41
19/10/2025,Mir,3,0,Sao,Mirassol - SP,Derrota,38
16/10/2025,Gre,2,0,Sao,Arena do Gremio,Derrota,0,38
6/10/2025,Sao,2,3,Pal,Morumbi,Derrota,0,38
2/10/2025,For,0,2,Sao,Fortaleza - CE,Vitoria,3,38
29/09/2025,Sao,0,1,Cea,Sao Paulo - SP,Derrota,0,35
21/09/2025,San,1,0,Sao,Vila Belmiro,Derrota,0,35
14/09/2025,Sao,1,0,Bot,Morumbi,Vitoria,3,35
30/08/2025,Cru,1,0,Sao,Mineirao,Derrota,0,32
24/08/2025,Sao,2,0,Atl,Morumbi,Vitoria,3,32
16/08/2025,Spo,2,2,Sao,Ilha do Retiro,Empate,1,29
9/8/2025,Sao,2,0,Vit,Morumbi,Vitoria,3,28
3/8/2025,Int,1,2,Sao,Beira,Vitoria,3,25
27/07/2025,Sao,3,1,Flu,Morumbi,Vitoria,3,22
24/07/2025,Juv,0,1,Sao,Alfredo Jaconi,Vitoria,3,19
19/07/2025,Sao,2,0,Cor,Morumbi,Vitoria,3,16
16/07/2025,Red,2,2,Sao,Cicero de Souza Marques,Empate,1,13
12/7/2025,Fla,2,0,Sao,Maracana,Derrota,0,12
12/6/2025,Sao,1,3,Vas,Morumbi,Derrota,0,12
31/05/2025,Bah,2,1,Sao,Arena Fonte Nova,Derrota,0,12
24/05/2025,Sao,0,2,Mir,Morumbi,Derrota,0,12
17/05/2025,Sao,2,1,Gre,Morumbi,Vitoria,3,12
11/5/2025,Pal,1,0,Sao,Arena Barueri,Derrota,0,9
2/5/2025,Sao,0,0,For,Morumbi,Empate,1,9
26/04/2025,Cea,1,1,Sao,Arena Castelao,Empate,1,8
20/04/2025,Sao,2,1,San,Morumbi,Vitoria,3,7
16/04/2025,Bot,2,2,Sao,Nilton Santos,Empate,1,4
13/04/2025,Sao,1,1,Cru,Morumbi,Empate,1,3
6/4/2025,Atl,0,0,Sao,Mineirao,Empate,1,2
29/03/2025,Sao,0,0,Spo,Morumbi,Empate,1,1
