Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
15/11/2025,Spo,1,5,Fla,Ilha Retiro - PE,Derrota,1,17
8/11/2025,Spo,2,4,Atl,Recife - PE,Derrota,0,17
5/11/2025,Sport,0,2,Juventude, Ilha do Retiro-PE,Derrota,0,17
01/11/2025,Fla,3,0,Sport,Maracana,Derrota,0,17
25/10/2025,Spo,1,2,Mir,Recife - PE,Derrota,0,17
19/10/2025,Inter,2,0,Spo,Beira Rio,Derrota,0,17
15/10/2025,Spo,1,1,Cea,Recife - PE,Empate,1,17
6/10/2025,Atl,3,1,Spo,Belo Horizonte,Derrota,0,17
6/10/2025,Cru,1,1,Spo,Belo Horizonte,Empate,1,16
1/10/2025,Spo,2,2,Flu,Recife - PE,Empate,1,15
27/09/2025,For,1,0,Spo,Arena Castelao,Derrota,0,14
21/09/2025,Spo,1,0,Cor,Ilha do Retiro,Vitoria,3,14
14/09/2025,Red,1,1,Spo,Cicero de Souza Marques,Empate,1,11
31/08/2025,Spo,2,3,Vas,Ilha do Retiro,Derrota,0,10
25/08/2025,Pal,3,0,Spo,Allianz Parque,Derrota,0,10
16/08/2025,Spo,2,2,Sao,Ilha do Retiro,Empate,1,10
10/8/2025,Gre,0,1,Spo,Arena do Gremio,Vitoria,3,9
2/8/2025,Spo,0,0,Bah,Ilha do Retiro,Empate,1,6
26/07/2025,Spo,2,2,San,Ilha do Retiro,Empate,1,5
23/07/2025,Vit,2,2,Spo,Manoel Barradas,Empate,1,4
20/07/2025,Spo,0,1,Bot,Ilha do Retiro,Derrota,0,3
14/07/2025,Juv,2,0,Spo,Alfredo Jaconi,Derrota,0,3
1/6/2025,Mir,1,0,Spo,Jose Maria de Campos Maia,Derrota,0,3
25/05/2025,Spo,1,1,Int,Ilha do Retiro,Empate,1,3
17/05/2025,Cea,2,0,Spo,Arena Castelao,Derrota,0,2
11/5/2025,Spo,0,4,Cru,Ilha do Retiro,Derrota,0,2
3/5/2025,Flu,2,1,Spo,Maracana,Derrota,0,2
26/04/2025,Spo,0,0,For,Ilha do Retiro,Empate,1,2
19/04/2025,Cor,2,1,Spo,Neo Quimica Arena,Derrota,0,1
16/04/2025,Spo,0,1,Red,Ilha do Retiro,Derrota,0,1
12/4/2025,Vas,3,1,Spo,Sao Januario,Derrota,0,1
6/4/2025,Spo,1,2,Pal,Ilha do Retiro,Derrota,0,1
29/03/2025,Sao,0,0,Spo,Morumbi,Empate,1,1
