Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
5/11/2025,Bot,3,0,Vas,Nilton Santos,Derrota,0,42
2/11/2025,Vas,0,2,Sao,Sao Januario,Derrota,3,42
26/11/2025,Red,0,3,Vas,Cicero de Souza Marques,Vitoria,3,42
20/10/2025,Vas,1,0,Flu,maracana,VItoria,3,39
15/10/2025,For,0,2,Vas,Arena Castelao,Vitoria,3,36
5/10/2025,Vas,4,3,Vit,Sao Januario,Vitoria,3,33
1/10/2025,Pal,3,0,Vas,Sao Paulo - SP,Derrota,0,30
27/09/2025,Vas,2,0,Cru,Sao Januario,Vitoria,3,30
24/09/2025,Vas,3,1,Bah,Sao Januario,Vitoria,3,27
21/09/2025,Fla,1,1,Vas,Maracana,Empate,1,24
14/09/2025,Vas,2,2,Cea,Sao Januario,Empate,1,23
31/08/2025,Spo,2,3,Vas,Ilha do Retiro,Vitoria,3,22
24/08/2025,Vas,2,3,Cor,Sao Januario,Derrota,0,19
20/08/2025,Juv,2,0,Vas,Alfredo Jaconi,Derrota,0,19
17/08/2025,San,0,6,Vas,Morumbi,Vitoria,3,19
10/8/2025,Vas,1,1,Atl,Sao Januario,Empate,1,16
2/8/2025,Mir,3,2,Vas,Jose Maria de Campos Maia,Derrota,0,15
27/07/2025,Int,1,1,Vas,Beira,Empate,1,15
19/07/2025,Vas,1,1,Gre,Sao Januario,Empate,1,14
12/7/2025,Vas,0,2,Bot,Mane Garrincha,Derrota,0,13
12/6/2025,Sao,1,3,Vas,Morumbi,Vitoria,3,13
31/05/2025,Vas,0,2,Red,Sao Januario,Derrota,0,10
24/05/2025,Flu,2,1,Vas,Maracana,Derrota,0,10
17/05/2025,Vas,3,0,For,Sao Januario,Vitoria,3,10
10/5/2025,Vit,2,1,Vas,Manoel Barradas,Derrota,0,7
4/5/2025,Vas,0,1,Pal,Mane Garrincha,Derrota,0,7
27/04/2025,Cru,1,0,Vas,Parque do Sabia,Derrota,0,7
19/04/2025,Vas,0,0,Fla,Maracana,Empate,1,7
15/04/2025,Cea,2,1,Vas,Arena Castelao,Derrota,0,6
12/4/2025,Vas,3,1,Spo,Sao Januario,Vitoria,3,6
5/4/2025,Cor,3,0,Vas,Neo Quimica Arena,Derrota,0,3
30/03/2025,Vas,2,1,San,Sao Januario,Vitoria,3,3
