Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
9/11/2025,Vit,0,0,Bot,Salvador,Empate,1,35
5/11/2025,Vit,1,0,Int,Salvador,Vitoria,3,34
01/11/2025,Cru,3,1,Vit,Belo Horizonte - MG,Derrota,0,31
25/10/2025,Vit,0,1,Cor,Salvador,Derrota,0,31
20/10/2025,San,0,1,Vit,Santos - SP,Vitoria,3,31
16/10/2025,Vit,2,1,Bah,Salvador,Vitoria,0,28
5/10/2025,Vas,4,3,Vit,Sao Januario,Derrota,0,25
2/10/2025,Vit,1,0,Cea,Salvador - BA,Vitoria,3,25
28/09/2025,Gre,3,1,Vit,Arena do Gremio,Derrota,0,22
20/09/2025,Vit,0,1,Flu,Manoel Barradas,Derrota,0,22
13/09/2025,For,2,0,Vit,Arena Castelao,Derrota,0,22
31/08/2025,Vit,1,0,Atl,Manoel Barradas,Vitoria,3,22
25/08/2025,Fla,8,0,Vit,Maracana,Derrota,0,19
16/08/2025,Vit,2,2,Juv,Manoel Barradas,Empate,1,19
9/8/2025,Sao,2,0,Vit,Morumbi,Derrota,0,18
3/8/2025,Vit,2,2,Pal,Manoel Barradas,Empate,1,18
26/07/2025,Mir,1,1,Vit,Jose Maria de Campos Maia,Empate,1,17
23/07/2025,Vit,2,2,Spo,Manoel Barradas,Empate,1,16
20/07/2025,Vit,1,0,Red,Manoel Barradas,Vitoria,3,15
16/07/2025,Bot,0,0,Vit,Nilton Santos,Empate,1,12
12/7/2025,Int,1,0,Vit,Beira,Derrota,0,11
12/6/2025,Vit,0,0,Cru,Manoel Barradas,Empate,1,11
1/6/2025,Cor,0,0,Vit,Neo Quimica Arena,Empate,1,10
25/05/2025,Vit,0,1,San,Manoel Barradas,Derrota,0,9
18/05/2025,Bah,2,1,Vit,Arena Fonte Nova,Derrota,0,9
10/5/2025,Vit,2,1,Vas,Manoel Barradas,Vitoria,3,9
3/5/2025,Cea,1,0,Vit,Presidente Vargas,Derrota,0,6
27/04/2025,Vit,1,1,Gre,Manoel Barradas,Empate,1,6
20/04/2025,Flu,1,1,Vit,Maracana,Empate,1,5
16/04/2025,Vit,2,1,For,Manoel Barradas,Vitoria,3,4
13/04/2025,Atl,2,2,Vit,Mineirao,Empate,1,1
6/4/2025,Vit,1,2,Fla,Manoel Barradas,Derrota,0,0
29/03/2025,Juv,2,0,Vit,Alfredo Jaconi,Derrota,0,0
