Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
02/11/2025,Ama,2,0,Cui,Manaus - AM,Vitoria,3,35
29/10/2025,Ath-pr,2,0,Ama,Curitiba - PR,Derrota,0,32
17/10/2025,Ama,0,0,Gre,Manaus - AM,Empate,1,32
11/10/2025,Vil,1,0,Ama,Goiania - GO,Derrota,0,31
7/10/2025,Ama,2,1,Cri,Manaus - AM,Vitoria,3,31
3/10/2025,Ath-mg,2,2,Ama,Sao Joao del Rei - MG,Empate,1,28
29/09/2025,Ama,1,3,Cha,Manaus - AM,Derrota,0,27
24/09/2025,Ope,2,1,Ama,Ponta Grossa - PR,Derrota,0,27
20/09/2025,Ama,1,0,Vol,Manaus - AM,Vitoria,3,27
15/09/2025,Crb,2,0,Ama,Maceio - AL,Derrota,0,24
5/9/2025,Ama,1,3,Rem,Manaus - AM,Derrota,0,24
31/08/2025,Atl,2,0,Ama,Goiania - GO,Derrota,0,24
25/08/2025,Ava,1,2,Ama,Florianopolis - SC,Vitoria,3,24
15/08/2025,Ama,2,2,Ame,Manaus - AM,Empate,1,21
8/8/2025,Fer,2,1,Ama,Araraquara - SP,Derrota,0,20
2/8/2025,Ama,2,2,Goi,Manaus - AM,Empate,1,20
27/07/2025,Cor,1,1,Ama,Curitiba - PR,Empate,1,19
23/07/2025,Ama,1,1,Pay,Manaus - AM,Empate,1,18
20/07/2025,Ama,3,0,Bot,Manaus - AM,Vitoria,3,17
15/07/2025,Cui,3,1,Ama,Cuiaba - MT,Derrota,0,14
5/7/2025,Ama,0,1,Ath-pr,Manaus - AM,Derrota,0,14
29/06/2025,Gre,1,1,Ama,Novo Horizonte - SP,Empate,1,14
22/06/2025,Ama,2,1,Vil,Manaus - AM,Vitoria,3,13
15/06/2025,Cri,3,2,Ama,Criciuma - SC,Derrota,0,10
9/6/2025,Ama,1,0,Ath-mg,Manaus - AM,Vitoria,3,10
2/6/2025,Cha,4,0,Ama,Chapeco - SC,Derrota,0,7
25/05/2025,Ama,2,0,Ope,Manaus - AM,Vitoria,3,7
19/05/2025,Vol,1,1,Ama,Volta Redonda - RJ,Empate,1,4
12/5/2025,Ama,1,1,Crb,Manaus - AM,Empate,1,3
3/5/2025,Rem,1,0,Ama,Belem - PA,Derrota,0,2
27/04/2025,Ama,1,1,Atl,Manaus - AM,Empate,1,2
21/04/2025,Ama,0,2,Ava,Manaus - AM,Derrota,0,1
17/04/2025,Ame,3,1,Ama,Belo Horizonte - MG,Derrota,0,1
12/4/2025,Ama,0,0,Fer,Manaus - AM,Empate,1,1
4/4/2025,Goi,1,0,Ama,Goiania - GO,Derrota,0,0
