Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
4/10/2025,Fer,1,3,Ame,Araraquara,Vitoria,3,36
29/09/2025,Ame,2,1,Vol,Belo Horizonte - MG,Vitoria,3,33
25/09/2025,Atl,1,0,Ame,Goiania - GO,Derrota,0,30
21/09/2025,Ame,1,0,Cor,Belo Horizonte - MG,Vitoria,3,30
13/09/2025,Pay,0,0,Ame,Belem - PA,Empate,1,27
7/9/2025,Ame,1,1,Ope,Belo Horizonte - MG,Empate,1,26
2/9/2025,Ame,2,0,Ava,Belo Horizonte - MG,Vitoria,3,25
23/08/2025,Goi,1,0,Ame,Goiania - GO,Derrota,0,22
15/08/2025,Ama,2,2,Ame,Manaus - AM,Empate,1,22
9/8/2025,Ame,0,1,Rem,Belo Horizonte - MG,Derrota,0,21
2/8/2025,Bot,2,1,Ame,Ribeirao Preto - SP,Derrota,0,21
27/07/2025,Ame,2,2,Ath-pr,Belo Horizonte - MG,Empate,1,21
23/07/2025,Cui,3,1,Ame,Cuiaba - MT,Derrota,0,20
20/07/2025,Ame,0,1,Cha,Belo Horizonte - MG,Derrota,0,20
12/7/2025,Gre,3,1,Ame,Novo Horizonte - SP,Derrota,0,20
7/7/2025,Ame,0,1,Ath-mg,Belo Horizonte - MG,Derrota,0,20
26/06/2025,Crb,1,2,Ame,Maceio - AL,Vitoria,3,20
20/06/2025,Ame,1,1,Cri,Belo Horizonte - MG,Empate,1,17
13/06/2025,Vil,0,3,Ame,Goiania - GO,Vitoria,3,16
7/6/2025,Ame,1,2,Fer,Belo Horizonte - MG,Derrota,0,13
1/6/2025,Vol,1,0,Ame,Volta Redonda - RJ,Derrota,0,13
27/05/2025,Ame,2,1,Atl,Belo Horizonte - MG,Vitoria,3,13
19/05/2025,Cor,1,0,Ame,Curitiba - PR,Derrota,0,10
14/05/2025,Ame,2,2,Pay,Belo Horizonte - MG,Empate,1,10
4/5/2025,Ope,1,0,Ame,Ponta Grossa - PR,Derrota,0,9
26/04/2025,Ava,3,0,Ame,Florianopolis - SC,Derrota,0,9
20/04/2025,Ame,1,0,Goi,Belo Horizonte - MG,Vitoria,3,9
17/04/2025,Ame,3,1,Ama,Belo Horizonte - MG,Vitoria,3,6
13/04/2025,Rem,2,0,Ame,Belem - PA,Derrota,0,3
5/4/2025,Ame,1,0,Bot,Belo Horizonte - MG,Vitoria,3,3
