Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
15/11/2025,Cor,0,0,Ath-mg,Curitiba - PR,Empate,1,41
07/11/2025,Ath-mg,2,1,Fer,Sao Joao del Rei - MG,Vitoria,0,40
01/11/2025,Ava,2,1,Ath-mg,Florianopolis - SC,Derrota,3,37
24/10/2025,Ath-mg,0,2,Ame,Sao Joao del Rei - MG,Derrota,0,37
18/10/2025,Rem,3,1,Ath-mg,Belem - PA,Derrota,0,37
11/10/2025,Ath-mg,1,1,Goi,Sao Joao del Rei - MG,Empate,1,37
8/10/2025,Ope,1,4,Ath-mg,Germano Krigger,Vitoria,3,36
3/10/2025,Ath-mg,2,2,Ama,Sao Joao del Rei - MG,Empate,1,33
28/09/2025,Cui,2,1,Ath-mg,Cuiaba - MT,Derrota,0,32
24/09/2025,Ath-mg,0,3,Ath-pr,Sao Joao del Rei - MG,Derrota,0,32
19/09/2025,Gre,1,0,Ath-mg,Novo Horizonte - SP,Derrota,0,32
14/09/2025,Ath-mg,2,0,Bot,Sao Joao del Rei - MG,Vitoria,3,32
8/9/2025,Vil,1,1,Ath-mg,Goiania - GO,Empate,1,29
31/08/2025,Vol,0,2,Ath-mg,Volta Redonda - RJ,Vitoria,3,28
22/08/2025,Ath-mg,0,4,Cha,Sao Joao del Rei - MG,Derrota,0,25
18/08/2025,Ath-mg,1,1,Cri,Sao Joao del Rei - MG,Empate,1,25
12/8/2025,Crb,1,0,Ath-mg,Maceio - AL,Derrota,0,24
4/8/2025,Ath-mg,1,1,Atl,Sao Joao del Rei - MG,Empate,1,24
28/07/2025,Pay,1,1,Ath-mg,Belem - PA,Empate,1,23
22/07/2025,Ath-mg,1,1,Cor,Sao Joao del Rei - MG,Empate,1,22
18/07/2025,Fer,1,2,Ath-mg,Araraquara - SP,Vitoria,3,21
14/07/2025,Ath-mg,4,0,Ava,Sao Joao del Rei - MG,Vitoria,3,18
7/7/2025,Ame,0,1,Ath-mg,Belo Horizonte - MG,Vitoria,3,15
29/06/2025,Ath-mg,1,2,Rem,Sao Joao del Rei - MG,Derrota,0,12
23/06/2025,Goi,1,2,Ath-mg,Goiania - GO,Vitoria,3,12
14/06/2025,Ath-mg,2,1,Ope,Sao Joao del Rei - MG,Vitoria,3,9
9/6/2025,Ama,1,0,Ath-mg,Manaus - AM,Derrota,0,6
31/05/2025,Ath-mg,0,2,Cui,Belo Horizonte - MG,Derrota,0,6
24/05/2025,Ath-pr,1,0,Ath-mg,Curitiba - PR,Derrota,0,6
17/05/2025,Ath-mg,0,2,Gre,Belo Horizonte - MG,Derrota,0,6
12/5/2025,Bot,0,3,Ath-mg,Ribeirao Preto - SP,Vitoria,3,6
6/5/2025,Ath-mg,0,1,Vil,Belo Horizonte - MG,Derrota,0,3
27/04/2025,Ath-mg,2,1,Vol,Belo Horizonte - MG,Vitoria,3,3
20/04/2025,Cha,1,0,Ath-mg,Chapeco - SC,Derrota,0,0
17/04/2025,Cri,4,0,Ath-mg,Criciuma - SC,Derrota,0,0
13/04/2025,Ath-mg,1,2,Crb,Belo Horizonte - MG,Derrota,0,0
7/4/2025,Atl,4,2,Ath-mg,Goiania - GO,Derrota,0,0
