Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
19/10/2025,Bot,2,2,Cui,Ribeirao Preto - SP,Empate,1,33
14/10/2025,Cha,1,1,Bot,Chapeco,Empate,1,33
7/10/2025,Bot,1,0,Pay,Ribeirao Preto - SP,Vitoria,3,32
3/10/2025,Cor,2,0,Bot,Curitiba - PR,Derrota,0,29
28/09/2025,Bot,1,2,Fer,Ribeirao Preto - SP,Derrota,0,29
24/09/2025,Crb,3,2,Bot,Maceio - AL,Derrota,0,29
18/09/2025,Bot,1,1,Ope,Ribeirao Preto - SP,Empate,1,29
14/09/2025,Ath-pr,2,0,Bot,Sao Joao del Rei - MG,Derrota,0,28
6/9/2025,Bot,1,3,Ath-pr,Ribeirao Preto - SP,Derrota,0,28
30/08/2025,Goi,2,3,Bot,Goiania - GO,Vitoria,3,28
25/08/2025,Bot,2,0,Vil,Ribeirao Preto - SP,Vitoria,3,25
16/08/2025,Rem,1,1,Bot,Belem - PA,Empate,1,22
10/8/2025,Atl,2,0,Bot,Goiania - GO,Derrota,0,21
2/8/2025,Bot,2,1,Ame,Ribeirao Preto - SP,Vitoria,3,21
28/07/2025,Ava,5,0,Bot,Florianopolis - SC,Derrota,0,18
24/07/2025,Bot,0,2,Cri,Ribeirao Preto - SP,Derrota,0,18
20/07/2025,Ama,3,0,Bot,Manaus - AM,Derrota,0,18
14/07/2025,Bot,0,0,Vol,Ribeirao Preto - SP,Empate,1,18
6/7/2025,Bot,0,0,Gre,Ribeirao Preto - SP,Empate,1,17
30/06/2025,Cui,0,1,Bot,Cuiaba - MT,Vitoria,3,16
20/06/2025,Bot,1,0,Cha,Ribeirao Preto - SP,Vitoria,3,13
13/06/2025,Pay,1,0,Bot,Belem - PA,Derrota,0,10
5/6/2025,Bot,0,0,Cor,Ribeirao Preto - SP,Empate,1,10
29/05/2025,Fer,1,1,Bot,Araraquara - SP,Empate,1,9
26/05/2025,Bot,2,1,Crb,Ribeirao Preto - SP,Vitoria,3,8
17/05/2025,Ope,3,0,Bot,Curitiba - PR,Derrota,0,5
12/5/2025,Bot,0,3,Ath-mg,Ribeirao Preto - SP,Derrota,0,5
4/5/2025,Ath-pr,1,4,Bot,Curitiba - PR,Vitoria,3,5
28/04/2025,Bot,0,1,Goi,Ribeirao Preto - SP,Derrota,0,2
20/04/2025,Vil,2,0,Bot,Goiania - GO,Derrota,0,2
17/04/2025,Bot,2,2,Rem,Ribeirao Preto - SP,Empate,1,2
13/04/2025,Bot,1,1,Atl,Ribeirao Preto - SP,Empate,1,1
5/4/2025,Ame,1,0,Bot,Belo Horizonte - MG,Derrota,0,0
