Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
4/10/2025,cha,1,0,Gre,Manaus - AM,Vitoria,3,47
29/09/2025,Ama,1,3,Cha,Manaus - AM,Vitoria,3,44
25/09/2025,Cha,0,1,Ava,Chapeco - SC,Derrota,0,41
21/09/2025,Cui,1,0,Cha,Cuiaba - MT,Derrota,0,41
16/09/2025,Cha,2,3,Ath-pr,Chapeco - SC,Derrota,0,41
7/9/2025,Cri,2,0,Cha,Criciuma - SC,Derrota,0,41
1/9/2025,Cha,2,2,Vil,Chapeco - SC,Empate,1,41
22/08/2025,Ath-mg,0,4,Cha,Sao Joao del Rei - MG,Vitoria,3,40
17/08/2025,Cha,2,0,Pay,Chapeco - SC,Vitoria,3,37
8/8/2025,Cor,0,0,Cha,Curitiba - PR,Empate,1,34
3/8/2025,Cha,3,2,Crb,Chapeco - SC,Vitoria,3,33
27/07/2025,Atl,0,0,Cha,Goiania - GO,Empate,1,30
23/07/2025,Cha,4,2,Vol,Chapeco - SC,Vitoria,3,29
20/07/2025,Ame,0,1,Cha,Belo Horizonte - MG,Vitoria,3,26
13/07/2025,Cha,1,1,Rem,Chapeco - SC,Empate,1,23
7/7/2025,Ope,1,2,Cha,Ponta Grossa - PR,Vitoria,3,22
29/06/2025,Cha,1,2,Goi,Chapeco - SC,Derrota,0,19
20/06/2025,Bot,1,0,Cha,Ribeirao Preto - SP,Derrota,0,19
16/06/2025,Cha,2,1,Fer,Chapeco - SC,Vitoria,3,19
6/6/2025,Gre,1,0,Cha,Novo Horizonte - SP,Derrota,0,16
2/6/2025,Cha,4,0,Ama,Chapeco - SC,Vitoria,3,16
24/05/2025,Ava,2,1,Cha,Florianopolis - SC,Derrota,0,13
16/05/2025,Cha,2,1,Cui,Chapeco - SC,Vitoria,3,13
8/5/2025,Ath-pr,1,1,Cha,Curitiba - PR,Empate,1,10
4/5/2025,Cha,2,1,Cri,Chapeco - SC,Vitoria,3,9
25/04/2025,Vil,1,0,Cha,Goiania - GO,Derrota,0,6
20/04/2025,Cha,1,0,Ath-mg,Chapeco - SC,Vitoria,3,6
16/04/2025,Pay,0,2,Cha,Belem - PA,Vitoria,3,3
12/4/2025,Cha,1,2,Cor,Chapeco - SC,Derrota,0,0
5/4/2025,Crb,1,0,Cha,Maceio - AL,Derrota,0,0
