Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
12/10/2025,Cui,1,0,Cor,Arena Pantanal,Derrota,0,56
9/10/2025,Cor,2,1,Atl,Curitiba - PR,Vitoria,3,56
3/10/2025,Cor,2,0,Bot,Curitiba - PR,Vitoria,3,53
29/09/2025,Ava,0,2,Cor,Florianopolis - SC,Vitoria,3,50
25/09/2025,Cor,0,2,Cri,Curitiba - PR,Derrota,0,47
21/09/2025,Ame,1,0,Cor,Belo Horizonte - MG,Derrota,0,47
12/9/2025,Cor,0,0,Goi,Curitiba - PR,Empate,1,47
5/9/2025,Cor,4,0,Fer,Curitiba - PR,Vitoria,3,46
29/08/2025,Ope,1,0,Cor,Ponta Grossa - PR,Derrota,0,43
23/08/2025,Cor,0,0,Rem,Curitiba - PR,Empate,1,43
14/08/2025,Gre,1,2,Cor,Novo Horizonte - SP,Vitoria,3,42
8/8/2025,Cor,0,0,Cha,Curitiba - PR,Empate,1,39
31/07/2025,Vil,1,2,Cor,Goiania - GO,Vitoria,3,38
27/07/2025,Cor,1,1,Ama,Curitiba - PR,Empate,1,35
22/07/2025,Ath-mg,1,1,Cor,Sao Joao del Rei - MG,Empate,1,34
19/07/2025,Cor,2,5,Pay,Curitiba - PR,Derrota,0,33
10/7/2025,Crb,0,1,Cor,Maceio - AL,Vitoria,3,33
4/7/2025,Cor,2,0,Vol,Curitiba - PR,Vitoria,3,30
28/06/2025,Ath-pr,0,1,Cor,Curitiba - PR,Vitoria,3,27
22/06/2025,Cor,2,0,Cui,Curitiba - PR,Vitoria,3,24
15/06/2025,Atl,0,0,Cor,Goiania - GO,Empate,1,21
5/6/2025,Bot,0,0,Cor,Ribeirao Preto - SP,Empate,1,20
31/05/2025,Cor,2,1,Ava,Curitiba - PR,Vitoria,3,19
26/05/2025,Cri,0,1,Cor,Criciuma - SC,Vitoria,3,16
19/05/2025,Cor,1,0,Ame,Curitiba - PR,Vitoria,3,13
10/5/2025,Goi,1,0,Cor,Goiania - GO,Derrota,0,10
2/5/2025,Fer,2,1,Cor,Araraquara - SP,Derrota,0,10
26/04/2025,Cor,2,0,Ope,Curitiba - PR,Vitoria,3,10
21/04/2025,Rem,1,0,Cor,Belem - PA,Derrota,0,7
16/04/2025,Cor,0,0,Gre,Curitiba - PR,Empate,1,7
12/4/2025,Cha,1,2,Cor,Chapeco - SC,Vitoria,3,6
5/4/2025,Cor,1,0,Vil,Curitiba - PR,Vitoria,3,3
