Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
25/2/2025,Cri,1,2,Goi, Criciuma - SC,Derrota,3,54
19/9/2025,Ava,1,1,Cri,Florianopolis - SC,Empate,1,54
12/2/2025,Cri,2,1,Cor,Criciuma - SC,Vitoria,3,53
7/8/2025,Ama,2,1,Cri,Manaus-Am,Derrota,0,50
2/10/2025,Vil,1,1,Cri,Goiania - GO,Empate,1,50
28/09/2025,Cri,2,4,Pay,Criciuma - SC,Derrota,0,49
25/09/2025,Cor,0,2,Cri,Curitiba - PR,Vitoria,3,49
21/09/2025,Cri,1,0,Crb,Criciuma - SC,Vitoria,3,46
12/9/2025,Vol,0,0,Cri,Volta Redonda - RJ,Empate,1,43
7/9/2025,Cri,2,0,Cha,Criciuma - SC,Vitoria,3,42
28/08/2025,Rem,0,1,Cri,Belem - PA,Vitoria,3,39
22/08/2025,Cri,2,0,Gre,Criciuma - SC,Vitoria,3,36
18/08/2025,Ath-mg,1,1,Cri,Sao Joao del Rei - MG,Empate,1,33
11/8/2025,Cri,4,2,Ath-pr,Criciuma - SC,Vitoria,3,32
1/8/2025,Ope,1,0,Cri,Ponta Grossa - PR,Derrota,0,29
29/07/2025,Cri,1,0,Cui,Criciuma - SC,Vitoria,3,29
24/07/2025,Bot,0,2,Cri,Ribeirao Preto - SP,Vitoria,3,26
18/07/2025,Atl,0,1,Cri,Goiania - GO,Vitoria,3,23
13/07/2025,Cri,2,1,Fer,Criciuma - SC,Vitoria,3,20
8/7/2025,Goi,1,1,Cri,Goiania - GO,Empate,1,17
27/06/2025,Cri,1,2,Ava,Criciuma - SC,Derrota,0,16
20/06/2025,Ame,1,1,Cri,Belo Horizonte - MG,Empate,1,16
15/06/2025,Cri,3,2,Ama,Criciuma - SC,Vitoria,3,15
9/6/2025,Cri,1,0,Vil,Criciuma - SC,Vitoria,3,12
2/6/2025,Pay,0,1,Cri,Belem - PA,Vitoria,3,9
26/05/2025,Cri,0,1,Cor,Criciuma - SC,Derrota,0,6
18/05/2025,Crb,1,0,Cri,Maceio - AL,Derrota,0,6
11/5/2025,Cri,0,0,Vol,Criciuma - SC,Empate,1,6
4/5/2025,Cha,2,1,Cri,Chapeco - SC,Derrota,0,5
25/04/2025,Cri,1,1,Rem,Criciuma - SC,Empate,1,5
21/04/2025,Gre,1,1,Cri,Novo Horizonte - SP,Empate,1,4
17/04/2025,Cri,4,0,Ath-mg,Criciuma - SC,Vitoria,3,3
10/4/2025,Ath-pr,2,1,Cri,Curitiba - PR,Derrota,0,0
4/4/2025,Cri,1,2,Ope,Criciuma - SC,Derrota,0,0
