Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
07/11/2025,Ath-mg,2,1,Fer,Sao Joao del Rei - MG,Derrota,0,40
31/10/2025,Fer,0,0,Cri,Araraquara - SP,Empate,0,40
26/10/2025,Vil,2,2,Fer,Goiania - GO,Empate,1,39
20/10/2025,Fer,2,2,Pay,Araraquara - SP,Empate,0,38
13/10/2025,crb,1,1,Fer,Maceio,Empate,1,37
9/10/2025,Fer,0,1,Cri,Araraquara - SP,Derrota,0,36
4/10/2025,Fer,1,3,Ame,Araraquara - SP,Derrota,0,36
28/09/2025,Bot,1,2,Fer,Ribeirao Preto - SP,Vitoria,3,36
23/09/2025,Fer,1,1,Goi,Araraquara - SP,Empate,1,33
20/09/2025,Ava,2,2,Fer,Florianopolis - SC,Empate,1,32
15/09/2025,Fer,1,2,Gre,Araraquara - SP,Derrota,0,31
5/9/2025,Cor,4,0,Fer,Curitiba - PR,Derrota,0,31
1/9/2025,Fer,2,2,Cui,Araraquara - SP,Empate,1,31
24/08/2025,Fer,0,0,Vol,Araraquara - SP,Empate,1,30
17/08/2025,Atl,1,3,Fer,Goiania - GO,Vitoria,3,29
8/8/2025,Fer,2,1,Ama,Araraquara - SP,Vitoria,3,26
1/8/2025,Rem,0,2,Fer,Belem - PA,Vitoria,3,23
26/07/2025,Fer,0,0,Ope,Araraquara - SP,Empate,1,20
22/07/2025,Ath-pr,1,1,Fer,Curitiba - PR,Empate,1,19
18/07/2025,Fer,1,2,Ath-mg,Araraquara - SP,Derrota,0,18
13/07/2025,Cri,2,1,Fer,Criciuma - SC,Derrota,0,18
6/7/2025,Fer,1,3,Vil,Araraquara - SP,Derrota,0,18
30/06/2025,Pay,2,1,Fer,Belem - PA,Derrota,0,18
21/06/2025,Fer,1,0,Crb,Novo Horizonte - SP,Vitoria,3,18
16/06/2025,Cha,2,1,Fer,Chapeco - SC,Derrota,0,15
7/6/2025,Ame,1,2,Fer,Belo Horizonte - MG,Vitoria,3,15
29/05/2025,Fer,1,1,Bot,Araraquara - SP,Empate,1,12
23/05/2025,Goi,2,0,Fer,Goiania - GO,Derrota,0,11
15/05/2025,Fer,1,1,Ava,Araraquara - SP,Empate,1,11
11/5/2025,Gre,2,2,Fer,Novo Horizonte - SP,Empate,1,10
2/5/2025,Fer,2,1,Cor,Araraquara - SP,Vitoria,3,9
27/04/2025,Cui,1,0,Fer,Cuiaba - MT,Derrota,0,6
22/04/2025,Vol,0,0,Fer,Volta Redonda - RJ,Empate,1,6
17/04/2025,Fer,2,0,Atl,Araraquara - SP,Vitoria,3,5
12/4/2025,Ama,0,0,Fer,Manaus - AM,Empate,1,2
6/4/2025,Fer,1,1,Rem,Araraquara - SP,Empate,1,1
