Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
19/10/2025,Goi,1,3,Cha,Goiania - GO,Derrrota,0,52
11/10/2025,Atl-mg,1,1,Goi,Arena Cicred,Empate,1,52
7/10/2025,Goi,1,2,crb,Goiania - GO,Derrota,0,51
4/10/2025,Vol,0,0,Goi,Volta Redonda - RJ,Empate,1,51
30/09/2025,Goi,0,0,Atl,Goiania - GO,Empate,1,50
23/09/2025,Fer,1,1,Goi,Araraquara - SP,Empate,1,49
20/09/2025,Goi,1,0,Pay,Goiania - GO,Vitoria,3,48
12/9/2025,Cor,0,0,Goi,Curitiba - PR,Empate,1,45
7/9/2025,Ava,2,1,Goi,Florianopolis - SC,Derrota,0,44
30/08/2025,Goi,2,3,Bot,Goiania - GO,Derrota,0,44
23/08/2025,Goi,1,0,Ame,Goiania - GO,Vitoria,3,44
16/08/2025,Vil,2,0,Goi,Goiania - GO,Derrota,0,41
9/8/2025,Goi,2,1,Ope,Goiania - GO,Vitoria,3,41
2/8/2025,Ama,2,2,Goi,Manaus - AM,Empate,1,38
29/07/2025,Goi,1,1,Rem,Goiania - GO,Empate,1,37
23/07/2025,Gre,1,0,Goi,Novo Horizonte - SP,Derrota,0,36
19/07/2025,Goi,3,1,Cui,Goiania - GO,Vitoria,3,36
12/7/2025,Ath-pr,0,1,Goi,Curitiba - PR,Vitoria,3,33
8/7/2025,Goi,1,1,Cri,Goiania - GO,Empate,1,30
29/06/2025,Cha,1,2,Goi,Chapeco - SC,Vitoria,3,29
23/06/2025,Goi,1,2,Ath-mg,Goiania - GO,Derrota,0,26
14/06/2025,Crb,2,0,Goi,Maceio - AL,Derrota,0,26
8/6/2025,Goi,2,0,Vol,Goiania - GO,Vitoria,3,26
31/05/2025,Atl,1,2,Goi,Goiania - GO,Vitoria,3,23
23/05/2025,Goi,2,0,Fer,Goiania - GO,Vitoria,3,20
18/05/2025,Pay,0,0,Goi,Belem - PA,Empate,1,17
10/5/2025,Goi,1,0,Cor,Goiania - GO,Vitoria,3,16
5/5/2025,Goi,2,1,Ava,Goiania - GO,Vitoria,3,13
28/04/2025,Bot,0,1,Goi,Ribeirao Preto - SP,Vitoria,3,10
20/04/2025,Ame,1,0,Goi,Belo Horizonte - MG,Derrota,0,7
17/04/2025,Goi,2,2,Vil,Goiania - GO,Empate,1,7
12/4/2025,Ope,1,2,Goi,Ponta Grossa - PR,Vitoria,3,6
4/4/2025,Goi,1,0,Ama,Goiania - GO,Vitoria,3,3
