Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
17/10/2025,Ama,0,0,Gre,Manaus - AM,Empate,1,54
11/10/2025,Gre,3,0,Ope,Novo Horizonte - SP,Vitoria,3,53
8/10/2025,Cui,0,1,Gre,Arena Pantanal,Vitoria,3,50
4/10/2025,Cha,1,0,Gre,Chapeco,Derrota,0,47
28/09/2025,Gre,1,1,Vil,Novo Horizonte - SP,Empate,1,47
23/09/2025,Pay,0,1,Gre,Belem - PA,Vitoria,3,46
19/09/2025,Gre,1,0,Ath-mg,Novo Horizonte - SP,Vitoria,3,43
15/09/2025,Fer,1,2,Gre,Araraquara - SP,Vitoria,3,40
8/9/2025,Gre,1,1,Atl,Novo Horizonte - SP,Empate,1,37
30/08/2025,Ath-pr,2,1,Gre,Curitiba - PR,Derrota,0,36
22/08/2025,Cri,2,0,Gre,Criciuma - SC,Derrota,0,36
14/08/2025,Gre,1,2,Cor,Novo Horizonte - SP,Derrota,0,36
9/8/2025,Vol,0,0,Gre,Volta Redonda - RJ,Empate,1,36
3/8/2025,Gre,1,1,Ava,Novo Horizonte - SP,Empate,1,35
26/07/2025,Crb,4,0,Gre,Maceio - AL,Derrota,0,34
23/07/2025,Gre,1,0,Goi,Novo Horizonte - SP,Vitoria,3,34
17/07/2025,Rem,1,1,Gre,Belem - PA,Empate,1,31
12/7/2025,Gre,3,1,Ame,Novo Horizonte - SP,Vitoria,3,30
6/7/2025,Bot,0,0,Gre,Ribeirao Preto - SP,Empate,1,27
29/06/2025,Gre,1,1,Ama,Novo Horizonte - SP,Empate,1,26
23/06/2025,Ope,2,0,Gre,Ponta Grossa - PR,Derrota,0,25
15/06/2025,Gre,3,0,Cui,Novo Horizonte - SP,Vitoria,3,25
6/6/2025,Gre,1,0,Cha,Novo Horizonte - SP,Vitoria,3,22
30/05/2025,Vil,0,1,Gre,Goiania - GO,Vitoria,3,19
25/05/2025,Gre,3,1,Pay,Novo Horizonte - SP,Vitoria,3,16
17/05/2025,Ath-mg,0,2,Gre,Belo Horizonte - MG,Vitoria,3,13
11/5/2025,Gre,2,2,Fer,Novo Horizonte - SP,Empate,1,10
4/5/2025,Atl,1,0,Gre,Goiania - GO,Derrota,0,9
24/04/2025,Gre,2,1,Ath-pr,Novo Horizonte - SP,Vitoria,3,9
21/04/2025,Gre,1,1,Cri,Novo Horizonte - SP,Empate,1,6
16/04/2025,Cor,0,0,Gre,Curitiba - PR,Empate,1,5
12/4/2025,Gre,1,0,Vol,Novo Horizonte - SP,Vitoria,3,4
6/4/2025,ava,1,1,Gre,Florianopolis,Empate,1,1
