Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
5/10/2025,Ope,0,1,Rem,Ponta Grossa - PR,Derrota,0,39
27/09/2025,Ath-pr,1,0,Ope,Curitiba - PR,Derrota,0,39
24/09/2025,Ope,2,1,Ama,Ponta Grossa - PR,Vitoria,3,39
18/09/2025,Bot,1,1,Ope,Ribeirao Preto - SP,Empate,1,36
14/09/2025,Ope,1,1,Cui,Ponta Grossa - PR,Empate,1,35
7/9/2025,Ame,1,1,Ope,Belo Horizonte - MG,Empate,1,34
29/08/2025,Ope,1,0,Cor,Ponta Grossa - PR,Vitoria,3,33
24/08/2025,Pay,1,2,Ope,Belem - PA,Vitoria,3,30
19/08/2025,Ope,0,0,Ava,Ponta Grossa - PR,Empate,1,27
9/8/2025,Goi,2,1,Ope,Goiania - GO,Derrota,0,26
1/8/2025,Ope,1,0,Cri,Ponta Grossa - PR,Vitoria,3,26
26/07/2025,Fer,0,0,Ope,Araraquara - SP,Empate,1,23
22/07/2025,Ope,3,0,Atl,Ponta Grossa - PR,Vitoria,3,22
17/07/2025,Ope,1,1,Crb,Ponta Grossa - PR,Empate,1,19
11/7/2025,Vil,0,0,Ope,Goiania - GO,Empate,1,18
7/7/2025,Ope,1,2,Cha,Ponta Grossa - PR,Derrota,0,17
29/06/2025,Vol,1,0,Ope,Volta Redonda - RJ,Derrota,0,17
23/06/2025,Ope,2,0,Gre,Ponta Grossa - PR,Vitoria,3,17
14/06/2025,Ath-mg,2,1,Ope,Sao Joao del Rei - MG,Derrota,0,14
8/6/2025,Rem,2,1,Ope,Belem - PA,Derrota,0,14
1/6/2025,Ope,2,2,Ath-pr,Ponta Grossa - PR,Empate,1,14
25/05/2025,Ama,2,0,Ope,Manaus - AM,Derrota,0,13
17/05/2025,Ope,3,0,Bot,Curitiba - PR,Vitoria,3,13
11/5/2025,Cui,2,3,Ope,Cuiaba - MT,Vitoria,3,10
4/5/2025,Ope,1,0,Ame,Ponta Grossa - PR,Vitoria,3,7
26/04/2025,Cor,2,0,Ope,Curitiba - PR,Derrota,0,4
19/04/2025,Ope,0,0,Pay,Ponta Grossa - PR,Empate,1,4
16/04/2025,Ava,1,0,Ope,Florianopolis - SC,Derrota,0,3
12/4/2025,Ope,1,2,Goi,Ponta Grossa - PR,Derrota,0,3
4/4/2025,Cri,1,2,Ope,Criciuma - SC,Vitoria,3,3
