Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
31/11/2025,Atl,2,1,Pay,Goiania - GO,Derrota,0,27
25/10/2025,Pay,1,2,Ava,Belem - PA,Derrota,0,27
20/10/2025,Fer,2,2,Pay,Araraquara - SP,Empate,0,27
14/10/2025,Pay,2,3,Rem,Belem - PA,Derrota,0,26
7/10/2025,Bot,1,0,Pay,Carlos Zanith - SP,Derrota,0,26
2/10/2025,Pay,1,1,Cui,Belem - PA,Empate,1,26
28/09/2025,Cri,2,4,Pay,Criciuma - SC,Vitoria,3,25
23/09/2025,Pay,0,1,Gre,Belem - PA,Derrota,0,22
20/09/2025,Goi,1,0,Pay,Goiania - GO,Derrota,0,22
13/09/2025,Pay,0,0,Ame,Belem - PA,Empate,1,22
5/9/2025,Pay,1,2,Vol,Belem - PA,Derrota,0,21
30/08/2025,Crb,2,0,Pay,Maceio - AL,Derrota,0,21
24/08/2025,Pay,1,2,Ope,Belem - PA,Derrota,0,21
17/08/2025,Cha,2,0,Pay,Chapeco - SC,Derrota,0,21
11/8/2025,Pay,0,1,Vil,Belem - PA,Derrota,0,21
3/8/2025,Ath-mg,1,1,Pay,Curitiba - PR,Empate,1,21
28/07/2025,Pay,1,1,Ath-pr,Belem - PA,Empate,1,20
23/07/2025,Ama,1,1,Pay,Manaus - AM,Empate,1,19
19/07/2025,Cor,2,5,Pay,Curitiba - PR,Vitoria,3,18
12/7/2025,Pay,2,2,Atl,Belem - PA,Empate,1,15
5/7/2025,Ava,0,0,Pay,Florianopolis - SC,Empate,1,14
30/06/2025,Pay,2,1,Fer,Belem - PA,Vitoria,3,13
21/06/2025,Rem,0,1,Pay,Belem - PA,Vitoria,3,10
13/06/2025,Pay,1,0,Bot,Belem - PA,Vitoria,3,7
6/6/2025,Cui,1,0,Pay,Cuiaba - MT,Derrota,0,4
2/6/2025,Pay,0,1,Cri,Belem - PA,Derrota,0,4
25/05/2025,Gre,3,1,Pay,Novo Horizonte - SP,Derrota,0,4
18/05/2025,Pay,0,0,Goi,Belem - PA,Empate,1,4
14/05/2025,Ame,2,2,Pay,Belo Horizonte - MG,Empate,1,3
3/5/2025,Vol,1,0,Pay,Volta Redonda - RJ,Derrota,0,2
27/04/2025,Pay,1,1,Crb,Belem - PA,Empate,1,2
19/04/2025,Ope,0,0,Pay,Ponta Grossa - PR,Empate,1,1
16/04/2025,Pay,0,2,Cha,Belem - PA,Derrota,0,0
12/4/2025,Vil,1,0,Pay,Goiania - GO,Derrota,0,0
4/4/2025,Pay,1,2,Ath-mg,Belem - PA,Derrota,0,0
