Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
13/10/2025,Vol,3,0,Atl,Volta Redonda - RJ,Empate,3,34
8/10/2025,Ava,3,0,Vol,Florianopoilis,Derrota,0,31
4/10/2025,Vol,0,0,Goi,Volta Redonda - RJ,Empate,1,31
29/09/2025,Ame,2,1,Vol,Belo Horizonte - MG,Derrota,0,30
24/09/2025,Vol,2,1,Rem,Volta Redonda - RJ,Vitoria,3,30
20/09/2025,Ama,1,0,Vol,Manaus - AM,Derrota,0,27
12/9/2025,Vol,0,0,Cri,Volta Redonda - RJ,Empate,1,27
5/9/2025,Pay,1,2,Vol,Belem - PA,Vitoria,3,26
31/08/2025,Vol,0,2,Ath-mg,Volta Redonda - RJ,Derrota,0,23
24/08/2025,Fer,0,0,Vol,Araraquara - SP,Empate,1,23
18/08/2025,Vol,0,1,Crb,Volta Redonda - RJ,Derrota,0,22
9/8/2025,Vol,0,0,Gre,Volta Redonda - RJ,Empate,1,22
4/8/2025,Cui,2,0,Vol,Cuiaba - MT,Derrota,0,21
27/07/2025,Vol,2,1,Vil,Volta Redonda - RJ,Vitoria,3,21
23/07/2025,Cha,4,2,Vol,Chapeco - SC,Derrota,0,18
19/07/2025,Vol,3,2,Ath-pr,Volta Redonda - RJ,Vitoria,3,18
14/07/2025,Bot,0,0,Vol,Ribeirao Preto - SP,Empate,1,15
4/7/2025,Cor,2,0,Vol,Curitiba - PR,Derrota,0,14
29/06/2025,Vol,1,0,Ope,Volta Redonda - RJ,Vitoria,3,14
22/06/2025,Atl,2,0,Vol,Goiania - GO,Derrota,0,11
17/06/2025,Vol,1,1,Ava,Volta Redonda - RJ,Empate,1,11
8/6/2025,Goi,2,0,Vol,Goiania - GO,Derrota,0,10
1/6/2025,Vol,1,0,Ame,Volta Redonda - RJ,Vitoria,3,10
24/05/2025,Rem,1,1,Vol,Belem - PA,Empate,1,7
19/05/2025,Vol,1,1,Ama,Volta Redonda - RJ,Empate,1,6
11/5/2025,Cri,0,0,Vol,Criciuma - SC,Empate,1,5
3/5/2025,Vol,1,0,Pay,Volta Redonda - RJ,Vitoria,3,4
27/04/2025,Ath-mg,2,1,Vol,Belo Horizonte - MG,Derrota,0,1
22/04/2025,Vol,0,0,Fer,Volta Redonda - RJ,Empate,1,1
17/04/2025,Crb,1,0,Vol,Maceio - AL,Derrota,0,0
12/4/2025,Gre,1,0,Vol,Novo Horizonte - SP,Derrota,0,0
6/4/2025,Vol,0,1,Cui,Volta Redonda - RJ,Derrota,0,0
