data,mandante,mandante_nome,placar,visitante,visitante_nome,resultado_aston_villa,rodada,competicao
2025-09-28,Aston Villa,Aston Villa,3-1,Fulham,Fulham,V,R6,Premier League 25/26
2025-05-03,Aston Villa,Aston Villa,1-0,Fulham,Fulham,V,R35,Premier League 24/25
2024-10-19,Fulham,Fulham,1-3,Aston Villa,Aston Villa,V,R8,Premier League 24/25
2024-02-17,Fulham,Fulham,1-2,Aston Villa,Aston Villa,V,R25,Premier League 23/24
2023-11-12,Aston Villa,Aston Villa,3-1,Fulham,Fulham,V,R12,Premier League 23/24
2023-04-25,Aston Villa,Aston Villa,1-0,Fulham,Fulham,V,R33,Premier League 22/23
2022-10-20,Fulham,Fulham,3-0,Aston Villa,Aston Villa,D,R12,Premier League 22/23
2021-04-04,Aston Villa,Aston Villa,3-1,Fulham,Fulham,V,R30,Premier League 20/21
2020-09-28,Fulham,Fulham,0-3,Aston Villa,Aston Villa,V,R3,Premier League 20/21
2020-01-04,Fulham,Fulham,2-1,Aston Villa,Aston Villa,D,3R,Copa da Inglaterra 2019/20
2018-05-26,Aston Villa,Aston Villa,0-1,Fulham,Fulham,D,F,EFL Championship 17/18
2018-02-17,Fulham,Fulham,2-0,Aston Villa,Aston Villa,D,R32,EFL Championship 17/18
2017-10-21,Aston Villa,Aston Villa,2-1,Fulham,Fulham,V,R13,EFL Championship 17/18
2017-04-17,Fulham,Fulham,3-1,Aston Villa,Aston Villa,D,R43,EFL Championship 2016/17
2016-10-22,Aston Villa,Aston Villa,1-0,Fulham,Fulham,V,R14,EFL Championship 2016/17
2014-04-05,Aston Villa,Aston Villa,1-2,Fulham,Fulham,D,R33,Premier League 13/14
2013-12-08,Fulham,Fulham,2-0,Aston Villa,Aston Villa,D,R15,Premier League 13/14
2013-04-13,Aston Villa,Aston Villa,1-1,Fulham,Fulham,E,R33,Premier League 12/13
2012-10-20,Fulham,Fulham,1-0,Aston Villa,Aston Villa,D,R8,Premier League 12/13
2012-03-10,Aston Villa,Aston Villa,1-0,Fulham,Fulham,V,R28,Premier League 11/12
