Data,mandante,placar, visitante,vencedor,Rodada,Competição
6/4/25,Atalanta,0-1,Lazio,Lazio,R31,Serie A 24/25
28/12/24,Lazio,1-1,Atalanta,Empate,R18,Serie A 24/25
4/2/24,Atalanta,3-1,Lazio,Atalanta,R23,Serie A 23/24
8/10/23,Lazio,3-2,Atalanta,Lazio,R8,Serie A 23/24
11/2/23,Lazio,0-2,Atalanta,Atalanta,R22,Serie A 22/23
23/10/22,Atalanta,0-2,Lazio,Lazio,R11,Serie A 22/23
22/1/22,Lazio,0-0,Atalanta,Empate,R23,Serie A 21/22
30/10/21,Atalanta,2-2,Lazio,Empate,R11,Serie A 21/22
31/1/21,Atalanta,1-3,Lazio,Lazio,R20,Serie A 20/21
27/1/21,Atalanta,3-2,Lazio,Atalanta,QF,Coppa Italia 2020/21
30/9/20,Lazio,1-4,Atalanta,Atalanta,R1,Serie A 20/21
24/6/20,Atalanta,3-2,Lazio,Atalanta,R27,Serie A 19/20
19/10/19,Lazio,3-3,Atalanta,Empate,R8,Serie A 19/20
15/5/19,Atalanta,0-2,Lazio,Lazio,F,Coppa Italia 2018/19
5/5/19,Lazio,1-3,Atalanta,Atalanta,R35,Serie A 18/19
17/12/18,Atalanta,1-0,Lazio,Atalanta,R16,Serie A 18/19
6/5/18,Lazio,1-1,Atalanta,Empate,R36,Serie A 17/18
17/12/17,Atalanta,3-3,Lazio,Empate,R17,Serie A 17/18
15/1/17,Lazio,2-1,Atalanta,Lazio,R20,Serie A 16/17
21/8/16,Atalanta,3-4,Lazio,Lazio,R1,Serie A 16/17
,,,,,,
