Data,mandante,placar,visitante,Vencedor,Campeonato,Resultado (para o Mandante)
2025-07-27,América Mineiro,2-2,Athletico Paranaense,Empate,"R19 Série B 2025",E
2023-10-25,Athletico Paranaense,3-2,América Mineiro,Athletico Paranaense,"R29 Brasileirão 2023",V
2023-06-11,América Mineiro,2-2,Athletico Paranaense,Empate,"R10 Brasileirão 2023",E
2022-08-21,Athletico Paranaense,1-1,América Mineiro,Empate,"R23 Brasileirão 2022",E
2022-04-30,América Mineiro,1-0,Athletico Paranaense,América Mineiro,"R4 Brasileirão 2022",V
2021-09-11,América Mineiro,2-0,Athletico Paranaense,América Mineiro,"R20 Brasileirão 2021",V
2021-05-30,Athletico Paranaense,1-0,América Mineiro,Athletico Paranaense,"R1 Brasileirão 2021",V
2018-10-06,Atlético Paranaense,4-0,América Mineiro,Atlético Paranaense,"R28 Brasileirão 2018",V
2018-06-03,América Mineiro,3-1,Atlético Paranaense,América Mineiro,"R9 Brasileirão 2018",V
2016-10-24,América Mineiro,1-0,Atlético Paranaense,América Mineiro,"R32 Brasileirão 2016",V
2016-07-02,Atlético Paranaense,1-0,América Mineiro,Atlético Paranaense,"R13 Brasileirão 2016",V
2012-10-06,Atlético Paranaense,5-4,América Mineiro,Atlético Paranaense,"R28 Série B 2012",V
2012-07-07,América Mineiro,3-2,Atlético Paranaense,América Mineiro,"R9 Série B 2012",V
2011-11-27,América Mineiro,2-1,Atlético Paranaense,América Mineiro,"R37 Brasileirão 2011",V
2011-08-21,Atlético Paranaense,2-2,América Mineiro,Empate,"R18 Brasileirão 2011",E
2002-04-14,América Mineiro,3-4,Atlético Paranaense,Atlético Paranaense,"1F Copa Sul-Minas 2002",D
2001-10-14,Atlético Paranaense,3-2,América Mineiro,Atlético Paranaense,"R18 Brasileirão 2001",V
2000-08-23,América Mineiro,0-0,Atlético Paranaense,Empate,"1F Copa João Havelange 2000",E
2000-02-23,América Mineiro,2-2,Atlético Paranaense,América Mineiro,"SF Copa Sul-Minas 2000 (4-2 Pen.)",E
2000-02-20,Atlético Paranaense,2-2,América Mineiro,Empate,"SF Copa Sul-Minas 2000",E
