data,mandante,mandante_nome,placar,visitante,visitante_nome,resultado_athletico,rodada,competicao
2025-09-27,Athletico Paranaense,Athletico Paranaense,1-0,Operário Ferroviário,Operário Ferroviário,V,R29,Série B 2025
2025-06-01,Operário Ferroviário,Operário Ferroviário,2-2,Athletico Paranaense,Athletico Paranaense,E,R10,Série B 2025
2025-01-22,Athletico Paranaense,Athletico Paranaense,1-1,Operário Ferroviário,Operário Ferroviário,E,1F,Paranaense 2025
2024-03-27,Athletico Paranaense,Athletico Paranaense,1-0,Operário Ferroviário,Operário Ferroviário,V,SF,Paranaense 2024
2024-03-16,Operário Ferroviário,Operário Ferroviário,1-2,Athletico Paranaense,Athletico Paranaense,V,SF,Paranaense 2024
2024-02-15,Athletico Paranaense,Athletico Paranaense,0-0,Operário Ferroviário,Operário Ferroviário,E,1F,Paranaense 2024
2023-02-11,Athletico Paranaense,Athletico Paranaense,3-1,Operário Ferroviário,Operário Ferroviário,V,1F,Paranaense 2023
2022-02-27,Athletico Paranaense,Athletico Paranaense,1-2,Operário Ferroviário,Operário Ferroviário,D,1F,Paranaense 2022
2021-04-17,Athletico Paranaense,Athletico Paranaense,0-4,Operário Ferroviário,Operário Ferroviário,D,1F,Paranaense 2021
2020-03-01,Operário Ferroviário,Operário Ferroviário,1-3,Athletico Paranaense,Athletico Paranaense,V,1F,Paranaense 2020
2019-03-20,Athletico Paranaense,Athletico Paranaense,3-0,Operário Ferroviário,Operário Ferroviário,V,C,Paranaense 2019
2016-01-31,Operário Ferroviário,Operário Ferroviário,0-2,Atlético Paranaense,Atlético Paranaense,V,1F,Paranaense 2016
2015-03-11,Operário Ferroviário,Operário Ferroviário,1-0,Atlético Paranaense,Atlético Paranaense,D,1F,Paranaense 2015
2014-01-25,Atlético Paranaense,Atlético Paranaense,1-1,Operário Ferroviário,Operário Ferroviário,E,1F,Paranaense 2014
2013-04-28,Operário Ferroviário,Operário Ferroviário,4-1,Atlético Paranaense,Atlético Paranaense,D,2T,Paranaense 2013
2013-03-02,Atlético Paranaense,Atlético Paranaense,3-0,Operário Ferroviário,Operário Ferroviário,V,1T,Paranaense 2013
2012-03-03,Atlético Paranaense,Atlético Paranaense,5-0,Operário Ferroviário,Operário Ferroviário,V,2T,Paranaense 2012
2012-01-24,Operário Ferroviário,Operário Ferroviário,0-1,Atlético Paranaense,Atlético Paranaense,V,1T,Paranaense 2012
2011-03-19,Atlético Paranaense,Atlético Paranaense,0-2,Operário Ferroviário,Operário Ferroviário,D,2T,Paranaense 2011
2011-01-25,Operário Ferroviário,Operário Ferroviário,1-0,Atlético Paranaense,Atlético Paranaense,D,1T,Paranaense 2011
