Data,mandante,placar,visitante,Vencedor,Campeonato,Resultado
2025-08-03,Atlético Mineiro,2-1,Red Bull Bragantino,Atlético Mineiro,Brasileirão 2025,V
2024-09-22,Atlético Mineiro,3-0,Red Bull Bragantino,Atlético Mineiro,Brasileirão 2024,V
2024-06-11,Red Bull Bragantino,1-2,Atlético Mineiro,Atlético Mineiro,Brasileirão 2024,V
2023-10-25,Red Bull Bragantino,1-2,Atlético Mineiro,Atlético Mineiro,Brasileirão 2023,V
2023-06-10,Atlético Mineiro,1-1,Red Bull Bragantino,Empate,Brasileirão 2023,E
2022-09-07,Atlético Mineiro,1-1,Red Bull Bragantino,Empate,Brasileirão 2022,E
2022-05-11,Red Bull Bragantino,1-1,Atlético Mineiro,Empate,Brasileirão 2022,E
2021-12-05,Atlético Mineiro,4-3,Red Bull Bragantino,Atlético Mineiro,Brasileirão 2021,V
2021-08-29,Red Bull Bragantino,1-1,Atlético Mineiro,Empate,Brasileirão 2021,E
2021-01-11,Red Bull Bragantino,2-2,Atlético Mineiro,Empate,Brasileirão 2020,E
2020-09-13,Atlético Mineiro,2-1,Red Bull Bragantino,Atlético Mineiro,Brasileirão 2020,V
1998-08-23,Atlético Mineiro,0-2,Bragantino,Bragantino,Brasileirão 1998,D
1997-09-06,Atlético Mineiro,2-1,Bragantino,Atlético Mineiro,Brasileirão 1997,V
1996-11-06,Bragantino,2-2,Atlético Mineiro,Empate,Brasileirão 1996,E
1995-10-22,Atlético Mineiro,1-1,Bragantino,Empate,Brasileirão 1995,E
1994-11-13,Bragantino,2-2,Atlético Mineiro,Empate,Brasileirão 1994,E
1994-10-16,Atlético Mineiro,1-1,Bragantino,Empate,Brasileirão 1994,E
1992-04-19,Atlético Mineiro,2-1,Bragantino,Atlético Mineiro,Brasileirão 1992,V
1991-05-01,Bragantino,1-1,Atlético Mineiro,Empate,Brasileirão 1991,E
1990-10-21,Bragantino,1-1,Atlético Mineiro,Empate,Brasileirão 1990,E
