Data,mandante,placar, visitante,vencedor,Rodada,Competição,
5/15/25,Osasuna,2-0,Atlético de Madrid,Osasuna,R36,Campeonato Espanhol 2024/25,
1/12/25,Atlético de Madrid,1-0,Osasuna,Atlético de Madrid,R19,Campeonato Espanhol 2024/25,
5/19/24,Atlético de Madrid,1-4,Osasuna,Osasuna,R37,Campeonato Espanhol 2023/24,
9/28/23,Osasuna,0-2,Atlético de Madrid,Atlético de Madrid,R7,Campeonato Espanhol 2023/24,
5/21/23,Atlético de Madrid,3-0,Osasuna,Atlético de Madrid,R35,Campeonato Espanhol 2022/23,
1/29/23,Osasuna,0-1,Atlético de Madrid,Atlético de Madrid,R19,Campeonato Espanhol 2022/23,
2/19/22,Osasuna,0-3,Atlético de Madrid,Atlético de Madrid,R25,Campeonato Espanhol 2021/22,
11/20/21,Atlético de Madrid,1-0,Osasuna,Atlético de Madrid,R14,Campeonato Espanhol 2021/22,
5/16/21,Atlético de Madrid,2-1,Osasuna,Atlético de Madrid,R37,Campeonato Espanhol 2020/21,
10/31/20,Osasuna,1-3,Atlético de Madrid,Atlético de Madrid,R8,Campeonato Espanhol 2020/21,
6/17/20,Osasuna,0-5,Atlético de Madrid,Atlético de Madrid,R29,Campeonato Espanhol 2019/20,
12/14/19,Atlético de Madrid,2-0,Osasuna,Atlético de Madrid,R17,Campeonato Espanhol 2019/20,
4/15/17,Atlético de Madrid,3-0,Osasuna,Atlético de Madrid,R32,La Liga 16/17,
11/27/16,Osasuna,0-3,Atlético de Madrid,Atlético de Madrid,R13,La Liga 16/17,
2/23/14,Osasuna,3-0,Atlético de Madrid,Osasuna,R25,Liga BBVA 13/14,
9/24/13,Atlético de Madrid,2-1,Osasuna,Atlético de Madrid,R6,Liga BBVA 13/14,
3/17/13,Osasuna,0-2,Atlético de Madrid,Atlético de Madrid,R28,Liga BBVA 12/13,
10/28/12,Atlético de Madrid,3-1,Osasuna,Osasuna,R9,Liga BBVA 12/13,
1/30/12,Osasuna,0-1,Atlético de Madrid,Atlético de Madrid,R21,Liga BBVA 11/12,
8/28/11,Atlético de Madrid,0-0,Osasuna,Empate,R2,Liga BBVA 11/12,
