data,mandante,mandante_nome,placar,visitante,visitante_nome,resultado_barcelona,rodada,competicao
2025-09-28,Barcelona,Barcelona,2-1,Real Sociedad,Real Sociedad,V,R7,Campeonato Espanhol 2025/26
2025-03-02,Barcelona,Barcelona,4-0,Real Sociedad,Real Sociedad,V,R26,Campeonato Espanhol 2024/25
2024-11-10,Real Sociedad,Real Sociedad,1-0,Barcelona,Barcelona,D,R13,Campeonato Espanhol 2024/25
2024-05-13,Barcelona,Barcelona,2-0,Real Sociedad,Real Sociedad,V,R35,Campeonato Espanhol 2023/24
2023-11-04,Real Sociedad,Real Sociedad,0-1,Barcelona,Barcelona,V,R12,Campeonato Espanhol 2023/24
2023-05-20,Barcelona,Barcelona,1-2,Real Sociedad,Real Sociedad,D,R35,Campeonato Espanhol 2022/23
2023-01-25,Barcelona,Barcelona,1-0,Real Sociedad,Real Sociedad,V,QF,Copa Rey 22/23
2022-08-21,Real Sociedad,Real Sociedad,1-4,Barcelona,Barcelona,V,R2,Campeonato Espanhol 2022/23
2022-04-21,Real Sociedad,Real Sociedad,0-1,Barcelona,Barcelona,V,R33,Campeonato Espanhol 2021/22
2021-08-15,Barcelona,Barcelona,4-2,Real Sociedad,Real Sociedad,V,R1,Campeonato Espanhol 2021/22
2021-03-21,Real Sociedad,Real Sociedad,1-6,Barcelona,Barcelona,V,R28,Campeonato Espanhol 2020/21
2021-01-13,Real Sociedad,Real Sociedad,1-1 (2-3 Pen.),Barcelona,Barcelona,V,SF,Supercopa da Espanha 2020
2020-12-16,Barcelona,Barcelona,2-1,Real Sociedad,Real Sociedad,V,R19,Campeonato Espanhol 2020/21
2020-03-07,Barcelona,Barcelona,1-0,Real Sociedad,Real Sociedad,V,R27,Campeonato Espanhol 2019/20
2019-12-14,Real Sociedad,Real Sociedad,2-2,Barcelona,Barcelona,E,R17,Campeonato Espanhol 2019/20
2019-04-20,Barcelona,Barcelona,2-1,Real Sociedad,Real Sociedad,V,R33,La Liga 18/19
2018-09-15,Real Sociedad,Real Sociedad,1-2,Barcelona,Barcelona,V,R4,La Liga 18/19
2018-05-20,Barcelona,Barcelona,1-0,Real Sociedad,Real Sociedad,V,R38,La Liga 17/18
2018-01-14,Real Sociedad,Real Sociedad,2-4,Barcelona,Barcelona,V,R19,La Liga 17/18
2017-04-15,Barcelona,Barcelona,3-2,Real Sociedad,Real Sociedad,V,R32,La Liga 16/17
