data,mandante,mandante_nome,placar,visitante,visitante_nome,resultado_bragantino,rodada,competicao
2025-09-28,Red Bull Bragantino,Red Bull Bragantino,2-2,Santos,Santos,E,R25,Brasileirão 2025
2025-04-27,Santos,Santos,1-2,Red Bull Bragantino,Red Bull Bragantino,V,R6,Brasileirão 2025
2025-03-02,Santos,Santos,2-0,Red Bull Bragantino,Red Bull Bragantino,D,QF,Paulista 2025
2024-03-27,Santos,Santos,3-1,Red Bull Bragantino,Red Bull Bragantino,D,SF,Paulista 2024
2024-03-03,Red Bull Bragantino,Red Bull Bragantino,1-0,Santos,Santos,V,A,Paulista 2024
2023-10-19,Santos,Santos,1-3,Red Bull Bragantino,Red Bull Bragantino,V,R27,Brasileirão 2023
2023-05-28,Red Bull Bragantino,Red Bull Bragantino,2-0,Santos,Santos,V,R8,Brasileirão 2023
2022-10-17,Red Bull Bragantino,Red Bull Bragantino,0-2,Santos,Santos,D,R32,Brasileirão 2022
2022-06-18,Santos,Santos,2-2,Red Bull Bragantino,Red Bull Bragantino,E,R13,Brasileirão 2022
2021-11-10,Santos,Santos,2-0,Red Bull Bragantino,Red Bull Bragantino,D,R31,Brasileirão 2021
2021-07-18,Red Bull Bragantino,Red Bull Bragantino,2-2,Santos,Santos,E,R12,Brasileirão 2021
2021-05-01,Red Bull Bragantino,Red Bull Bragantino,1-1,Santos,Santos,E,A,Paulista 2021
2020-11-08,Red Bull Bragantino,Red Bull Bragantino,1-1,Santos,Santos,E,R20,Brasileirão 2020
2020-08-09,Santos,Santos,1-1,Red Bull Bragantino,Red Bull Bragantino,E,R1,Brasileirão 2020
2020-01-23,Santos,Santos,0-0,Red Bull Bragantino,Red Bull Bragantino,E,A,Paulista 2020
2019-01-31,Bragantino,Bragantino,1-4,Santos,Santos,D,C,Paulista 2019
2018-01-22,Santos,Santos,0-1,Bragantino,Bragantino,V,D,Paulista 2018
2014-02-27,Santos,Santos,5-0,Bragantino,Bragantino,D,A,Paulista 2014
2013-01-27,Bragantino,Bragantino,2-2,Santos,Santos,E,R3,Paulista 2013
2012-03-25,Santos,Santos,2-0,Bragantino,Bragantino,D,R15,Paulista 2012
