Data,Time da Casa,Placar,Time Visitante,Campeonato,Resultado (Ceará),Vencedor
4/6/2025,Botafogo,2-Mar,Ceará,Brasileirão 2025,Derrota,Botafogo
6/8/2022,Botafogo,1-Jan,Ceará,Brasileirão 2022,Empate,Empate
17/04/2022,Ceará,3-Jan,Botafogo,Brasileirão 2022,Derrota,Botafogo
25/02/2021,Ceará,1-Feb,Botafogo,Brasileirão 2020,Vitória,Ceará
31/10/2020,Botafogo,2-Feb,Ceará,Brasileirão 2020,Empate,Empate
8/12/2019,Botafogo,1-Jan,Ceará,Brasileirão 2019,Empate,Empate
14/09/2019,Ceará,0-0,Botafogo,Brasileirão 2019,Empate,Empate
15/10/2018,Ceará,0-0,Botafogo,Brasileirão 2018,Empate,Empate
6/6/2018,Botafogo,0-0,Ceará,Brasileirão 2018,Empate,Empate
20/10/2015,Botafogo,0-1,Ceará,Série B 15,Vitória,Ceará
7/7/2015,Ceará,0-0,Botafogo,Série B 15,Empate,Empate
3/9/2014,Ceará,4-Mar,Botafogo,Copa do Brasil 2014,Derrota,Botafogo
27/08/2014,Botafogo,2-Jan,Ceará,Copa do Brasil 2014,Vitória,Ceará
7/9/2011,Botafogo,Apr-00,Ceará,Brasileirão 2011,Derrota,Botafogo
4/6/2011,Ceará,2-Feb,Botafogo,Brasileirão 2011,Empate,Empate
10/11/2010,Ceará,2-Feb,Botafogo,Brasileirão 2010,Empate,Empate
25/08/2010,Botafogo,Jan-00,Ceará,Brasileirão 2010,Derrota,Botafogo
22/03/2007,Botafogo,Feb-00,Ceará,Copa Brasil 2007,Derrota,Botafogo
14/03/2007,Ceará,2-Jan,Botafogo,Copa Brasil 2007,Derrota,Botafogo
13/06/2003,Botafogo,0-2,Ceará,Série B 2003,Vitória,Ceará
