Data,mandante,placar,visitante,vencedor,Rodada,Competição
24/5/2025,Atlético Mineiro,0-0,Corinthians,Empate,R10,Brasileirão 2025
28/7/2024,Atlético Mineiro,2-1,Corinthians,Atlético Mineiro,R20,Brasileirão 2024
14/4/2024,Corinthians,0-0,Atlético Mineiro,Empate,R1,Brasileirão 2024
9/11/2023,Corinthians,1-1,Atlético Mineiro,Empate,R33,Brasileirão 2023
8/7/2023,Atlético Mineiro,0-1,Corinthians,Atletico Mineiro,R14,Brasileirão 2023
31/5/2023,Corinthians,2-0(3-1 Pen.),Atlético Mineiro,Corinthians,8-Jan,Copa do Brasil 2023
17/5/2023,Atlético Mineiro,2-0,Corinthians,Atlético Mineiro,8-Jan,Copa do Brasil 2023
13/11/2022,Corinthians,0-1,Atlético Mineiro,Atlético Mineiro,R38,Brasileirão 2022
24/7/2022,Atlético Mineiro,1-2,Corinthians,Corinthians,R19,Brasileirão 2022
10/11/2021,Atlético Mineiro,3-0,Corinthians,Atlético Mineiro,R31,Brasileirão 2021
17/7/2021,Corinthians,1-2,Atlético Mineiro,Atlético Mineiro,R12,Brasileirão 2021
14/11/2020,Corinthians,1-2,Atlético Mineiro,Atlético Mineiro,R21,Brasileirão 2020
12/8/2020,Atlético Mineiro,3-2,Corinthians,Atlético Mineiro,R2,Brasileirão 2020
1/12/2019,Atlético Mineiro,2-1,Corinthians,Atlético Mineiro,R36,Brasileirão 2019
1/9/2019,Corinthians,1-0,Atlético Mineiro,Corinthians,R17,Brasileirão 2019
1/9/2018,Corinthians,1-1,Atlético Mineiro,Empate,R22,Brasileirão 2018
29/4/2018,Atlético Mineiro,1-0,Corinthians,Atlético Mineiro,R3,Brasileirão 2018
26/11/2017,Corinthians,2-2,Atlético Mineiro,Empate,R37,Brasileirão 2017
2/8/2017,Atlético Mineiro,0-2,Corinthians,Corinthians,R18,Brasileirão 2017
5/10/2016,Corinthians,0-0,Atlético Mineiro,Empate,R29,Brasileirão 2016
