data,mandante,mandante_nome,placar,visitante,visitante_nome,resultado_corinthians,rodada,competicao
2025-09-28,Corinthians,Corinthians,1-2,Flamengo,Flamengo,D,R25,Brasileirão 2025
2025-04-27,Flamengo,Flamengo,4-0,Corinthians,Corinthians,D,R6,Brasileirão 2025
2024-10-20,Corinthians,Corinthians,0-0,Flamengo,Flamengo,E,SF,Copa do Brasil 2024
2024-10-02,Flamengo,Flamengo,1-0,Corinthians,Corinthians,D,SF,Copa do Brasil 2024
2024-09-01,Corinthians,Corinthians,2-1,Flamengo,Flamengo,V,R25,Brasileirão 2024
2024-05-11,Flamengo,Flamengo,2-0,Corinthians,Corinthians,D,R6,Brasileirão 2024
2023-10-07,Corinthians,Corinthians,1-1,Flamengo,Flamengo,E,R26,Brasileirão 2023
2023-05-21,Flamengo,Flamengo,1-0,Corinthians,Corinthians,D,R7,Brasileirão 2023
2022-11-02,Flamengo,Flamengo,1-2,Corinthians,Corinthians,V,R35,Brasileirão 2022
2022-10-19,Flamengo,Flamengo,1-1 (6-5 Pen.),Corinthians,Corinthians,E,F,Copa do Brasil 2022
2022-10-12,Corinthians,Corinthians,0-0,Flamengo,Flamengo,E,F,Copa do Brasil 2022
2022-08-09,Flamengo,Flamengo,1-0,Corinthians,Corinthians,D,QF,Copa Libertadores 2022
2022-08-02,Corinthians,Corinthians,0-2,Flamengo,Flamengo,D,QF,Copa Libertadores 2022
2022-07-10,Corinthians,Corinthians,1-0,Flamengo,Flamengo,V,R16,Brasileirão 2022
2021-11-17,Flamengo,Flamengo,1-0,Corinthians,Corinthians,D,R33,Brasileirão 2021
2021-08-01,Corinthians,Corinthians,1-3,Flamengo,Flamengo,D,R14,Brasileirão 2021
2021-02-14,Flamengo,Flamengo,2-1,Corinthians,Corinthians,D,R36,Brasileirão 2020
2020-10-18,Corinthians,Corinthians,1-5,Flamengo,Flamengo,D,R17,Brasileirão 2020
2019-11-03,Flamengo,Flamengo,4-1,Corinthians,Corinthians,D,R30,Brasileirão 2019
2019-07-21,Corinthians,Corinthians,1-1,Flamengo,Flamengo,E,R11,Brasileirão 2019

