Data,mandante,placar, visitante,vencedor,Competição 
25/05/2025,Fortaleza,0-2,Cruzeiro,Cruzeiro,Brasileirão 2025
8/5/2024,Cruzeiro,1-2,Fortaleza,Fortaleza,Brasileirão 2024
17/04/2024,Fortaleza,1-1,Cruzeiro,Empate,Brasileirão 2024
18/11/2023,Fortaleza,0-1,Cruzeiro,Cruzeiro,Brasileirão 2023
21/06/2023,Cruzeiro,0-1,Fortaleza,Fortaleza,Brasileirão 2023
26/10/2019,Cruzeiro,1-1,Fortaleza,Empate,Brasileirão 2019
6/12/2019,Fortaleza,2-1,Cruzeiro,Fortaleza,Brasileirão 2019
14/10/2006,Cruzeiro,0-0,Fortaleza,Empate,Brasileirão 2006
3/6/2006,Fortaleza,0-2,Cruzeiro,Cruzeiro,Brasileirão 2006
6/3/2006,Fortaleza,3-1,Cruzeiro,Fortaleza,Brasileirão 2006
11/5/2005,Cruzeiro,3-0,Fortaleza,Cruzeiro,Brasileirão 2005
30/07/2005,Cruzeiro,1-2,Fortaleza,Cruzeiro,Brasileirão 2005
11/2/2003,Fortaleza,2-0,Cruzeiro,Cruzeiro,Brasileirão 2003
7/9/2003,Cruzeiro,2-0,Fortaleza,Cruzeiro,Brasileirão 2003
29/01/1981,Cruzeiro,1-0,Fortaleza,Cruzeiro,Brasileirão 1981
20/09/1975,Fortaleza,0-0,Cruzeiro,Empate,Brasileirão 1975
6/5/1974,Fortaleza,0-2,Cruzeiro,Cruzeiro,Brasileirão 1974
1/12/1974,Cruzeiro,1-0,Fortaleza,Cruzeiro,Brasileirão 1973
31/10/1973,Fortaleza,0-0,Cruzeiro,Empate,Brasileirão 1973
