Data,mandante,placar,visitante,Vencedor,Campeonato,Resultado (para o Mandante)
2025-07-23,Corinthians,0-0,Cruzeiro,Empate,"R16 Brasileirão 2025",E
2024-11-20,Corinthians,2-1,Cruzeiro,Corinthians,"R34 Brasileirão 2024",V
2024-07-07,Cruzeiro,3-0,Corinthians,Cruzeiro,"R15 Brasileirão 2024",V
2023-08-19,Cruzeiro,1-1,Corinthians,Empate,"R20 Brasileirão 2023",E
2023-04-16,Corinthians,2-1,Cruzeiro,Corinthians,"R1 Brasileirão 2023",V
2019-10-19,Corinthians,1-2,Cruzeiro,Cruzeiro,"R27 Brasileirão 2019",D
2019-06-08,Cruzeiro,0-0,Corinthians,Empate,"R8 Brasileirão 2019",E
2018-11-14,Cruzeiro,1-0,Corinthians,Cruzeiro,"R34 Brasileirão 2018",V
2018-10-17,Corinthians,1-2,Cruzeiro,Cruzeiro,"F Copa do Brasil 2018",D
2018-10-10,Cruzeiro,1-0,Corinthians,Cruzeiro,"F Copa do Brasil 2018",V
2018-07-25,Corinthians,2-0,Cruzeiro,Corinthians,"R15 Brasileirão 2018",V
2017-10-01,Cruzeiro,1-1,Corinthians,Empate,"R26 Brasileirão 2017",E
2017-06-14,Corinthians,1-0,Cruzeiro,Corinthians,"R7 Brasileirão 2017",V
2016-12-11,Cruzeiro,3-2,Corinthians,Cruzeiro,"R38 Brasileirão 2016",V
2016-10-19,Cruzeiro,4-2,Corinthians,Cruzeiro,"QF Copa do Brasil 2016",V
2016-09-28,Corinthians,2-1,Cruzeiro,Corinthians,"QF Copa do Brasil 2016",V
2016-08-08,Corinthians,1-1,Cruzeiro,Empate,"R19 Brasileirão 2016",E
2015-08-23,Corinthians,3-0,Cruzeiro,Corinthians,"R20 Brasileirão 2015",V
2015-05-10,Cruzeiro,0-1,Corinthians,Corinthians,"R1 Brasileirão 2015",D
2014-10-08,Cruzeiro,0-1,Corinthians,Corinthians,"R27 Brasileirão 2014",D
