Data,mandante,placar,visitante,Vencedor,Campeonato,Resultado (Flamengo)
25/05/2025,Palmeiras,0-2,Flamengo,Flamengo,Brasileirão 2025,V
11/08/2024,Flamengo,1-1,Palmeiras,Empate,Brasileirão 2024,E
07/08/2024,Palmeiras,1-0,Flamengo,Palmeiras,Copa do Brasil 2024,D
31/07/2024,Flamengo,2-0,Palmeiras,Flamengo,Copa do Brasil 2024,V
21/04/2024,Palmeiras,0-0,Flamengo,Empate,Brasileirão 2024,E
08/11/2023,Flamengo,3-0,Palmeiras,Flamengo,Brasileirão 2023,V
08/07/2023,Palmeiras,1-1,Flamengo,Empate,Brasileirão 2023,E
28/01/2023,Palmeiras,4-3,Flamengo,Palmeiras,Supercopa Brasil 2023,D
21/08/2022,Palmeiras,1-1,Flamengo,Empate,Brasileirão 2022,E
20/04/2022,Flamengo,0-0,Palmeiras,Empate,Brasileirão 2022,E
27/11/2021,Palmeiras,2-1,Flamengo,Palmeiras,Libertadores 2021,D
12/09/2021,Palmeiras,1-3,Flamengo,Flamengo,Brasileirão 2021,V
30/05/2021,Flamengo,1-0,Palmeiras,Flamengo,Brasileirão 2021,V
11/04/2021,Flamengo,2-2,Palmeiras,Empate,Supercopa Brasil 2021,V
21/01/2021,Flamengo,2-0,Palmeiras,Flamengo,Brasileirão 2020,V
27/09/2020,Palmeiras,1-1,Flamengo,Empate,Brasileirão 2020,E
01/12/2019,Palmeiras,1-3,Flamengo,Flamengo,Brasileirão 2019,V
01/09/2019,Flamengo,3-0,Palmeiras,Flamengo,Brasileirão 2019,V
27/10/2018,Flamengo,1-1,Palmeiras,Empate,Brasileirão 2018,E
13/06/2018,Palmeiras,1-1,Flamengo,Empate,Brasileirão 2018,E
