Data,mandante,placar,visitante,Vencedor,Campeonato,Resultado
2025-07-16,Santos,1-0,Flamengo,Santos,Brasileirão 2025,V
2023-11-01,Flamengo,1-2,Santos,Santos,Brasileirão 2023,D
2023-06-25,Santos,2-3,Flamengo,Flamengo,Brasileirão 2023,D
2022-10-25,Flamengo,3-2,Santos,Flamengo,Brasileirão 2022,V
2022-07-02,Santos,1-2,Flamengo,Flamengo,Brasileirão 2022,D
2021-12-06,Flamengo,0-1,Santos,Santos,Brasileirão 2021,D
2021-08-28,Santos,0-4,Flamengo,Flamengo,Brasileirão 2021,D
2020-12-13,Flamengo,4-1,Santos,Flamengo,Brasileirão 2020,V
2020-08-30,Santos,0-1,Flamengo,Flamengo,Brasileirão 2020,D
2019-12-08,Santos,4-0,Flamengo,Santos,Brasileirão 2019,V
2019-09-14,Flamengo,1-0,Santos,Flamengo,Brasileirão 2019,V
2018-11-15,Flamengo,1-0,Santos,Flamengo,Brasileirão 2018,V
2018-07-25,Santos,1-1,Flamengo,Empate,Brasileirão 2018,E
2017-11-26,Flamengo,1-2,Santos,Santos,Brasileirão 2017,D
2017-08-02,Santos,3-2,Flamengo,Santos,Brasileirão 2017,V
2017-07-26,Santos,4-2,Flamengo,Santos,Copa do Brasil 2017,V
2017-06-28,Flamengo,2-0,Santos,Flamengo,Copa do Brasil 2017,V
2016-11-27,Flamengo,2-0,Santos,Flamengo,Brasileirão 2016,V
2016-08-03,Santos,0-0,Flamengo,Empate,Brasileirão 2016,E
2015-11-19,Santos,0-0,Flamengo,Empate,Brasileirão 2015,E
