data,mandante,mandante_nome,placar,visitante,visitante_nome,resultado_fluminense,rodada,competicao
2025-05-11,Atlético Mineiro,Atlético Mineiro,3-2,Fluminense,Fluminense,D,R8,Brasileirão 2025
2024-09-25,Atlético Mineiro,Atlético Mineiro,2-0,Fluminense,Fluminense,D,QF,Copa Libertadores 2024
2024-09-18,Fluminense,Fluminense,1-0,Atlético Mineiro,Atlético Mineiro,V,QF,Copa Libertadores 2024
2024-08-24,Atlético Mineiro,Atlético Mineiro,0-2,Fluminense,Fluminense,V,R24,Brasileirão 2024
2024-05-04,Fluminense,Fluminense,2-2,Atlético Mineiro,Atlético Mineiro,E,R5,Brasileirão 2024
2023-10-28,Atlético Mineiro,Atlético Mineiro,2-0,Fluminense,Fluminense,D,R30,Brasileirão 2023
2023-06-21,Fluminense,Fluminense,1-1,Atlético Mineiro,Atlético Mineiro,E,R11,Brasileirão 2023
2022-10-01,Atlético Mineiro,Atlético Mineiro,2-0,Fluminense,Fluminense,D,R29,Brasileirão 2022
2022-06-08,Fluminense,Fluminense,5-3,Atlético Mineiro,Atlético Mineiro,V,R10,Brasileirão 2022
2021-11-28,Atlético Mineiro,Atlético Mineiro,2-1,Fluminense,Fluminense,D,R36,Brasileirão 2021
2021-09-15,Atlético Mineiro,Atlético Mineiro,1-0,Fluminense,Fluminense,D,QF,Copa do Brasil 2021
2021-08-26,Fluminense,Fluminense,1-2,Atlético Mineiro,Atlético Mineiro,D,QF,Copa do Brasil 2021
2021-08-23,Fluminense,Fluminense,1-1,Atlético Mineiro,Atlético Mineiro,E,R17,Brasileirão 2021
2021-02-10,Fluminense,Fluminense,0-0,Atlético Mineiro,Atlético Mineiro,E,R35,Brasileirão 2020
2020-10-14,Atlético Mineiro,Atlético Mineiro,1-1,Fluminense,Fluminense,E,R16,Brasileirão 2020
2019-11-16,Fluminense,Fluminense,1-1,Atlético Mineiro,Atlético Mineiro,E,R33,Brasileirão 2019
2019-08-10,Atlético Mineiro,Atlético Mineiro,2-1,Fluminense,Fluminense,D,R14,Brasileirão 2019
2018-10-21,Fluminense,Fluminense,1-0,Atlético Mineiro,Atlético Mineiro,V,R30,Brasileirão 2018
2018-06-10,Atlético Mineiro,Atlético Mineiro,5-2,Fluminense,Fluminense,D,R11,Brasileirão 2018
2017-08-21,Fluminense,Fluminense,2-1,Atlético Mineiro,Atlético Mineiro,V,R21,Brasileirão 2017
